cell_tetrahedron, cell_prism_3, cell_cube, cell_prism_5, cell_config_1, cell_config_2, cell_config_3, cell_config_4, cell_config_5, cell_config_6, cell_config_7, cell_config_8, cell_config_9, cell_dodecahedron, cell_config_10, cell_config_11, cell_config_12, cell_config_13, cell_config_14, cell_config_15, cell_config_16, cell_config_17, cell_config_18, cell_config_19, all_cells, all_combinatorial_types
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 131, 39, 87, 74, 51, 25, 36, 40, 40, 34, 18, 28, 1000, 155
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 130, 39, 86, 74, 52, 25, 37, 40, 40, 34, 19, 27, 1000, 155
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 129, 39, 85, 74, 52, 24, 37, 40, 40, 34, 19, 27, 1000, 154
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 129, 39, 84, 73, 52, 24, 37, 42, 39, 34, 19, 27, 1000, 154
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 127, 39, 84, 73, 53, 24, 38, 43, 39, 34, 19, 27, 1000, 156
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 126, 40, 83, 73, 53, 23, 38, 43, 40, 34, 20, 27, 1000, 156
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 126, 40, 82, 73, 54, 22, 38, 42, 40, 34, 20, 27, 1000, 156
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 126, 40, 82, 74, 53, 21, 38, 42, 40, 34, 20, 28, 1000, 156
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 126, 40, 81, 73, 53, 21, 39, 43, 40, 34, 20, 28, 1000, 155
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 127, 40, 78, 73, 53, 23, 39, 43, 41, 34, 20, 28, 1000, 156
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 127, 40, 79, 73, 52, 22, 39, 42, 41, 34, 20, 28, 1000, 155
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 125, 40, 80, 69, 51, 21, 39, 40, 42, 34, 24, 28, 1000, 156
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 124, 38, 79, 67, 49, 20, 38, 43, 42, 34, 24, 27, 1000, 158
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 125, 38, 78, 67, 49, 20, 38, 43, 41, 34, 23, 26, 1000, 159
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 122, 38, 77, 68, 49, 20, 38, 43, 41, 33, 25, 27, 1000, 161
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 120, 40, 79, 68, 49, 20, 38, 42, 41, 33, 25, 27, 1000, 160
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 113, 43, 77, 68, 49, 23, 36, 42, 41, 33, 27, 28, 1000, 160
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 112, 43, 75, 68, 48, 24, 36, 42, 42, 32, 27, 28, 1000, 159
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 114, 42, 74, 67, 47, 25, 36, 41, 42, 32, 27, 28, 1000, 159
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 114, 42, 74, 64, 46, 25, 36, 40, 43, 32, 28, 27, 1000, 160
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 113, 42, 72, 63, 46, 25, 36, 39, 42, 32, 31, 26, 1000, 161
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 114, 43, 72, 62, 45, 25, 36, 39, 42, 31, 31, 24, 1000, 165
0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 116, 44, 71, 61, 41, 26, 36, 39, 43, 31, 32, 22, 1000, 169
0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 115, 44, 71, 63, 40, 28, 36, 37, 42, 29, 33, 20, 1000, 171
0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 115, 44, 72, 63, 40, 28, 35, 36, 42, 29, 33, 19, 1000, 171
0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 114, 44, 72, 61, 40, 27, 34, 36, 40, 29, 33, 19, 1000, 173
0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 4, 1, 116, 44, 69, 58, 39, 26, 33, 39, 41, 29, 31, 20, 1000, 177
0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 5, 1, 116, 44, 68, 58, 38, 24, 34, 40, 40, 29, 30, 20, 1000, 178
0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 5, 1, 113, 45, 67, 57, 40, 25, 34, 38, 40, 29, 32, 20, 1000, 178
0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 6, 1, 111, 44, 65, 58, 40, 25, 34, 40, 40, 28, 33, 18, 1000, 184
0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 7, 1, 107, 44, 64, 56, 42, 24, 34, 42, 40, 29, 33, 19, 1000, 186
0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 7, 1, 107, 45, 65, 54, 43, 23, 34, 41, 38, 29, 33, 20, 1000, 185
0, 0, 0, 0, 0, 1, 0, 0, 2, 2, 9, 1, 105, 45, 69, 55, 43, 23, 34, 39, 37, 27, 33, 21, 1000, 189
0, 0, 0, 0, 0, 1, 0, 1, 2, 2, 12, 1, 105, 45, 69, 52, 42, 22, 33, 35, 34, 27, 32, 21, 1000, 192
0, 0, 0, 0, 0, 1, 0, 1, 1, 2, 13, 3, 103, 45, 69, 51, 41, 23, 32, 36, 33, 26, 33, 21, 1000, 196
0, 0, 0, 0, 0, 1, 0, 1, 1, 2, 13, 3, 101, 45, 70, 51, 41, 23, 32, 36, 32, 26, 34, 22, 1000, 198
0, 0, 0, 0, 0, 1, 0, 1, 1, 2, 14, 3, 101, 44, 70, 50, 40, 23, 32, 35, 32, 26, 35, 22, 1000, 198
