step, flag_perc, avg_face_degree, polydispersity, avg_volume, time
foam1, 100.0, 13.812, 0.0014095578835062739, 1.042979292663376, 0.0
foam2, 100.0, 13.812, 0.0031676384762564513, 1.0430409751607561, 0.36
foam3, 100.0, 13.812, 0.0032465133792727308, 1.0430436694730605, 0.37
foam4, 100.0, 13.812, 0.0033314317008101835, 1.0430653899023665, 0.38
foam5, 100.0, 13.812, 0.0040436328886543915, 1.043044134268606, 0.46
foam6, 100.0, 13.81, 0.004771141939126533, 1.042993042978866, 0.53
foam7, 100.0, 13.81, 0.005853922522516486, 1.0430231455442271, 0.62
foam8, 100.0, 13.808, 0.006532638257075174, 1.042992532650667, 0.67
foam9, 100.0, 13.808, 0.006965745266012124, 1.0430371993112377, 0.7
foam10, 100.0, 13.808, 0.00742214862555457, 1.0430581903315694, 0.73
foam11, 100.0, 13.806, 0.007914485733938825, 1.0430782805016716, 0.76
foam12, 100.0, 13.806, 0.008590112933585026, 1.0431808756546543, 0.8
foam13, 100.0, 13.806, 0.009328517732846153, 1.0432496057642457, 0.84
foam14, 100.0, 13.806, 0.009517416352248897, 1.043237585907854, 0.85
foam15, 100.0, 13.806, 0.009717331838627219, 1.0433446267381636, 0.86
foam16, 100.0, 13.804, 0.010316448189481964, 1.0433653999359214, 0.89
foam17, 100.0, 13.802, 0.010954210869895231, 1.0433928544474853, 0.92
foam18, 100.0, 13.802, 0.01184274167816568, 1.0434685926722087, 0.96
foam19, 100.0, 13.802, 0.012428339400815336, 1.0448215971206152, 0.98
foam20, 100.0, 13.802, 0.012671255680172244, 1.044914180957309, 0.99
foam21, 100.0, 13.802, 0.012919603191826834, 1.0449986073412005, 1.0
foam22, 100.0, 13.802, 0.013173837932406673, 1.0450186867795208, 1.01
foam23, 100.0, 13.798, 0.013948995062105674, 1.0447799019133193, 1.04
foam24, 100.0, 13.798, 0.014496613476012943, 1.0447923672916064, 1.06
foam25, 100.0, 13.798, 0.01532451248812583, 1.0448349126871739, 1.09
foam26, 100.0, 13.798, 0.015614460049704348, 1.04488005233222, 1.1
foam27, 100.0, 13.794, 0.015955870009662254, 1.045023535696714, 1.11
foam28, 100.0, 13.794, 0.01687087535080667, 1.04500582047854, 1.14
foam29, 100.0, 13.792, 0.017518821423657904, 1.0450379633490994, 1.16
foam30, 100.0, 13.792, 0.017858594964268892, 1.0452003202489797, 1.17
foam31, 100.0, 13.792, 0.018218269745271964, 1.045206863793193, 1.18
foam32, 100.0, 13.788, 0.01857689166882248, 1.044761572680449, 1.19
foam33, 100.0, 13.786, 0.01933034667222744, 1.045265122513619, 1.21
foam34, 100.0, 13.782, 0.019728530507994613, 1.0453555388026186, 1.22
foam35, 100.0, 13.782, 0.020498616657472324, 1.0453711538991728, 1.24
foam36, 100.0, 13.782, 0.021276233547077528, 1.0454277932169347, 1.26
foam37, 100.0, 13.782, 0.02167654698526844, 1.0454644362542396, 1.27
foam38, 100.0, 13.78, 0.022556179374349172, 1.0459640441141407, 1.29
foam39, 100.0, 13.778, 0.02393317492549496, 1.0458005023571186, 1.32
foam40, 100.0, 13.77, 0.024444463219674972, 1.045908003013898, 1.33
foam41, 100.0, 13.768, 0.024937273819680916, 1.0459572120309195, 1.34
foam42, 100.0, 13.768, 0.025440219773367856, 1.045969365225113, 1.35
foam43, 100.0, 13.764, 0.025952785746457874, 1.046049319368274, 1.36
foam44, 100.0, 13.764, 0.026479948398347553, 1.046161010079813, 1.37
foam45, 100.0, 13.762, 0.027027386808850418, 1.0459289990198406, 1.38
foam46, 100.0, 13.762, 0.02754824027268099, 1.046004443270457, 1.39
foam47, 100.0, 13.76, 0.02816258404080707, 1.0461762906664982, 1.4
foam48, 100.0, 13.76, 0.02871286511425364, 1.0462489360874727, 1.41
foam49, 100.0, 13.76, 0.029852685258061618, 1.046291416905692, 1.43
foam50, 100.0, 13.754, 0.03053462170998822, 1.0464035292725435, 1.44
foam51, 100.0, 13.748, 0.031319398220384986, 1.0461819073427863, 1.45
foam52, 100.0, 13.746, 0.03200026017333468, 1.0463292831966873, 1.46
foam53, 100.0, 13.744, 0.03272217473902006, 1.0465932476340625, 1.47
foam54, 100.0, 13.744, 0.03343436985645454, 1.0468030326864974, 1.48
foam55, 100.0, 13.744, 0.034818649489724685, 1.0469376879551218, 1.5
foam56, 100.0, 13.738, 0.03644283919189628, 1.0471490192657251, 1.52
foam57, 100.0, 13.736, 0.03794904923629394, 1.047309825648383, 1.54
foam58, 100.0, 13.736, 0.038778472678410836, 1.0475458317501685, 1.55
foam59, 100.0, 13.736, 0.03960025659841149, 1.0476835765900763, 1.56
