step, energy
1, 5.311172
2, 5.310611
3, 5.310056
4, 5.305595
5, 5.301643
6, 5.296017
7, 5.292729
8, 5.290781
9, 5.288807
10, 5.28686
11, 5.283844
12, 5.280957
13, 5.280046
14, 5.279283
15, 5.277069
16, 5.274506
17, 5.271098
18, 5.269424
19, 5.268609
20, 5.267666
21, 5.266779
22, 5.263858
23, 5.261727
24, 5.258771
25, 5.257728
26, 5.256318
27, 5.253195
28, 5.250595
29, 5.249404
30, 5.248289
31, 5.246671
32, 5.244039
33, 5.242278
34, 5.239503
35, 5.236749
36, 5.235293
37, 5.231719
38, 5.226895
39, 5.224729
40, 5.222719
41, 5.220522
42, 5.218602
43, 5.216433
44, 5.214611
45, 5.212839
46, 5.2105
47, 5.208557
48, 5.20483
49, 5.201647
50, 5.198228
51, 5.195756
52, 5.193076
53, 5.190501
54, 5.1857
55, 5.178968
56, 5.173384
57, 5.170186
58, 5.167237
59, 5.163866
60, 5.157876
61, 5.15371
62, 5.150672
63, 5.146305
64, 5.141041
65, 5.136868
66, 5.128175
67, 5.123415
68, 5.119047
69, 5.109815
70, 5.104134
71, 5.097358
72, 5.092192
73, 5.086899
74, 5.081546
75, 5.073744
76, 5.068185
77, 5.062382
78, 5.055513
79, 5.048085
80, 5.041314
81, 5.035079
82, 5.029137
83, 5.019931
84, 5.012651
85, 5.005954
86, 4.998034
87, 4.990639
88, 4.985363
89, 4.978215
90, 4.968837
91, 4.959654
92, 4.950247
93, 4.942043
94, 4.931489
95, 4.922164
96, 4.913091
97, 4.902319
98, 4.892604
99, 4.882482
100, 4.873598
101, 4.863146
102, 4.856467
103, 4.848867
104, 4.838075
105, 4.828968
106, 4.816316
107, 4.809235
108, 4.79846
109, 4.789777
110, 4.77607
111, 4.763876
112, 4.75334
113, 4.74112
114, 4.731599
115, 4.721754
116, 4.707511
117, 4.697961
118, 4.68386
119, 4.67758
120, 4.673766
121, 4.662096
122, 4.647264
123, 4.64223
124, 4.637775
125, 4.637528
126, 4.624074
127, 4.619871
128, 4.615098
129, 4.612826
130, 4.603477
131, 4.591826
132, 4.591443
133, 4.587563
134, 4.582054
135, 4.571074
136, 4.566101
137, 4.556482
138, 4.547642
139, 4.534494
140, 4.521394
141, 4.514239
142, 4.508399
143, 4.502696
144, 4.492545
145, 4.481059
146, 4.474524
147, 4.47217
148, 4.469603
149, 4.446629
150, 4.436953
151, 4.427345
152, 4.424837
153, 4.416704
154, 4.406254
155, 4.403245
156, 4.400211
157, 4.396255
158, 4.382389
159, 4.357042
160, 4.341459
161, 4.334984
162, 4.319943
163, 4.312236
164, 4.305416
165, 4.302082
166, 4.294651
167, 4.287866
168, 4.284717
169, 4.270039
170, 4.260478
171, 4.249997
172, 4.239786
173, 4.237577
174, 4.219992
175, 4.214474
176, 4.198972
177, 4.190658
178, 4.185992
179, 4.171395
180, 4.1683
181, 4.165242
182, 4.153296
183, 4.142019
184, 4.135203
185, 4.12395
186, 4.107131
187, 4.097629
188, 4.093966
189, 4.093719
190, 4.08714
191, 4.080093
192, 4.05851
193, 4.051122
194, 4.034555
195, 4.033642
196, 4.025943
197, 4.01847
198, 4.007628
199, 3.995665
200, 3.995422
201, 3.984499
202, 3.982868
203, 3.980002
204, 3.974183
205, 3.966387
206, 3.964673
207, 3.951412
208, 3.945344
209, 3.942786
210, 3.931387
211, 3.930398
212, 3.911351
213, 3.897321
214, 3.897115
215, 3.881799
216, 3.874984
217, 3.85944
218, 3.856952
219, 3.848286
220, 3.840073
221, 3.826988
222, 3.810397
223, 3.80632
224, 3.804761
225, 3.800916
226, 3.795392
227, 3.787645
228, 3.775145
229, 3.765487
230, 3.764437
231, 3.747448
232, 3.74137
233, 3.734566
234, 3.733444
235, 3.726397
236, 3.72031
237, 3.71557
238, 3.715076
239, 3.706151
240, 3.705143
241, 3.700558
242, 3.694954
243, 3.693859
244, 3.688545
245, 3.683718
246, 3.665695
247, 3.664308
248, 3.66198
249, 3.658998
250, 3.658656
251, 3.650869
252, 3.640408
253, 3.623585
254, 3.595469
255, 3.590925
256, 3.590891
257, 3.57887
258, 3.572472
259, 3.569145
260, 3.568851
261, 3.559179
