cell_tetrahedron, cell_prism_3, cell_cube, cell_prism_5, cell_config_1, cell_config_2, cell_config_3, cell_config_4, cell_config_5, cell_config_6, cell_config_7, cell_config_8, cell_config_9, cell_dodecahedron, cell_config_10, cell_config_11, cell_config_12, cell_config_13, cell_config_14, cell_config_15, cell_config_16, cell_config_17, cell_config_18, cell_config_19, all_cells, all_combinatorial_types
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 131, 21, 81, 67, 40, 24, 30, 48, 45, 30, 20, 21, 1000, 144
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 131, 21, 81, 67, 39, 24, 30, 48, 44, 30, 20, 21, 1000, 145
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 128, 21, 81, 69, 40, 24, 30, 48, 44, 30, 21, 21, 1000, 145
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 128, 21, 79, 69, 40, 25, 30, 49, 43, 29, 21, 22, 1000, 145
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 129, 21, 81, 68, 40, 25, 30, 46, 43, 30, 22, 23, 1000, 142
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 130, 21, 80, 68, 40, 24, 30, 46, 43, 30, 21, 23, 1000, 143
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 128, 22, 80, 68, 40, 24, 30, 46, 43, 29, 21, 24, 1000, 143
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 125, 24, 76, 69, 40, 23, 31, 46, 43, 29, 21, 24, 1000, 144
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 124, 25, 76, 68, 40, 22, 31, 46, 44, 29, 21, 23, 1000, 145
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 123, 26, 77, 68, 40, 22, 31, 46, 45, 29, 21, 23, 1000, 146
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 123, 26, 75, 68, 40, 22, 31, 49, 43, 29, 21, 22, 1000, 149
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 122, 26, 73, 68, 41, 22, 32, 48, 43, 28, 22, 22, 1000, 151
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 122, 26, 73, 67, 40, 22, 32, 48, 44, 27, 23, 22, 1000, 151
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 122, 26, 73, 67, 39, 22, 33, 49, 43, 27, 23, 22, 1000, 151
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 122, 26, 71, 67, 38, 22, 34, 49, 43, 28, 24, 21, 1000, 154
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 121, 26, 70, 67, 37, 22, 34, 50, 43, 28, 24, 21, 1000, 152
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 120, 26, 71, 67, 37, 22, 34, 50, 43, 27, 25, 21, 1000, 152
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 3, 120, 26, 70, 66, 36, 22, 34, 49, 43, 28, 26, 21, 1000, 154
0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 3, 3, 118, 26, 69, 67, 37, 22, 36, 50, 42, 26, 25, 21, 1000, 161
