step, flag_perc, avg_face_degree, polydispersity, avg_volume, time
foam1, 100.0, 13.84, 0.0016260697023826598, 1.049169453209706, 0.0
foam2, 100.0, 13.84, 0.00195818851780194, 1.0493723130589372, 0.13
foam3, 100.0, 13.84, 0.003517792300027134, 1.0497432350630198, 0.42
foam4, 100.0, 13.84, 0.0035915432633160105, 1.0497597463333392, 0.43
foam5, 100.0, 13.838, 0.00399862560637998, 1.049809968313516, 0.48
foam6, 100.0, 13.838, 0.004077368806890247, 1.0497407730705273, 0.49
foam7, 100.0, 13.838, 0.00453914846965886, 1.049801234714302, 0.54
foam8, 100.0, 13.838, 0.004638967275570449, 1.0497744005463845, 0.55
foam9, 100.0, 13.838, 0.005260867241289491, 1.0498251916139225, 0.61
foam10, 100.0, 13.836, 0.00584728232219045, 1.0499798235110351, 0.66
foam11, 100.0, 13.836, 0.006350028198543356, 1.0500805902806534, 0.7
foam12, 100.0, 13.836, 0.006882448498142235, 1.0501649212221957, 0.74
foam13, 100.0, 13.836, 0.007025152893060271, 1.050243658398522, 0.75
foam14, 100.0, 13.836, 0.007165951209224808, 1.050216278839142, 0.76
foam15, 100.0, 13.834, 0.007608550512974821, 1.0502184259845375, 0.79
foam16, 100.0, 13.834, 0.008556287149470654, 1.0503171926769916, 0.85
foam17, 100.0, 13.834, 0.008729982377249534, 1.0503710469525054, 0.86
foam18, 100.0, 13.832, 0.009617682636405611, 1.0504758291445437, 0.91
foam19, 100.0, 13.832, 0.010779303005697072, 1.050626532876548, 0.97
foam20, 100.0, 13.83, 0.010994229995558102, 1.050632983120454, 0.98
foam21, 100.0, 13.828, 0.01142725385614285, 1.0507306926639413, 1.0
foam22, 100.0, 13.824, 0.01186675358758138, 1.0505483715264625, 1.02
foam23, 100.0, 13.822, 0.012560042678813055, 1.0508250253373663, 1.05
foam24, 100.0, 13.822, 0.013047224939300994, 1.051180357162727, 1.07
foam25, 100.0, 13.822, 0.01330539643635853, 1.0507349077721968, 1.08
foam26, 100.0, 13.822, 0.013564055564444955, 1.0507712064493953, 1.09
foam27, 100.0, 13.82, 0.013838171329805471, 1.0508627458534363, 1.1
foam28, 100.0, 13.82, 0.014367517277096065, 1.0509427546694774, 1.12
foam29, 100.0, 13.818, 0.015254150024863966, 1.051286101808803, 1.15
