step, energy
1, 5.325111
2, 5.312055
3, 5.311573
4, 5.308983
5, 5.308439
6, 5.305847
7, 5.305327
8, 5.302055
9, 5.299347
10, 5.296897
11, 5.294486
12, 5.293851
13, 5.293211
14, 5.291249
15, 5.287421
16, 5.286739
17, 5.283329
18, 5.278818
19, 5.278118
20, 5.276299
21, 5.274199
22, 5.271408
23, 5.269606
24, 5.268714
25, 5.267795
26, 5.266635
27, 5.264636
28, 5.261474
29, 5.260501
30, 5.258438
31, 5.257198
32, 5.256079
33, 5.25501
34, 5.252424
35, 5.251124
36, 5.249441
37, 5.244933
38, 5.24038
39, 5.238997
40, 5.237556
41, 5.236092
42, 5.234093
43, 5.232647
44, 5.230897
45, 5.228969
46, 5.224671
47, 5.221077
48, 5.217509
49, 5.215431
50, 5.213269
51, 5.20819
52, 5.20344
53, 5.200422
54, 5.198131
55, 5.195255
56, 5.190532
57, 5.187317
58, 5.184659
59, 5.182096
60, 5.178521
61, 5.1753
62, 5.1718
63, 5.166114
64, 5.163158
65, 5.158766
66, 5.155118
67, 5.150068
68, 5.146258
69, 5.142373
70, 5.136985
71, 5.133246
72, 5.128075
73, 5.123416
74, 5.119158
75, 5.113768
76, 5.108341
77, 5.096392
78, 5.091615
79, 5.085953
80, 5.080638
81, 5.075036
82, 5.068745
83, 5.062199
84, 5.056171
85, 5.050174
86, 5.038129
87, 5.03295
88, 5.03118
89, 5.026321
90, 5.019634
91, 5.013143
92, 5.00661
93, 4.998927
94, 4.992037
95, 4.98401
96, 4.975978
97, 4.968318
98, 4.959715
99, 4.950166
100, 4.940911
101, 4.932908
102, 4.921595
103, 4.907652
104, 4.898868
105, 4.889424
106, 4.882417
107, 4.876707
108, 4.868193
109, 4.866447
110, 4.857237
111, 4.838102
112, 4.832393
113, 4.823564
114, 4.818579
115, 4.8002
116, 4.790174
117, 4.780871
118, 4.777524
119, 4.765231
120, 4.759453
121, 4.748194
122, 4.746586
123, 4.727783
124, 4.716388
125, 4.713214
126, 4.708062
127, 4.70793
128, 4.699394
129, 4.695079
130, 4.683496
131, 4.673746
132, 4.661115
133, 4.647434
134, 4.633125
135, 4.626939
136, 4.614493
137, 4.596787
138, 4.579832
139, 4.566344
140, 4.557257
141, 4.546204
142, 4.526386
143, 4.520518
144, 4.50754
145, 4.504555
146, 4.474776
147, 4.469786
148, 4.452817
149, 4.440221
150, 4.427491
151, 4.415941
152, 4.411019
153, 4.407024
154, 4.403053
155, 4.396822
156, 4.383029
157, 4.36629
158, 4.362475
159, 4.357132
160, 4.354839
161, 4.340513
162, 4.331712
163, 4.322791
164, 4.319353
165, 4.301375
166, 4.291506
167, 4.286269
168, 4.274022
169, 4.262903
170, 4.260615
171, 4.245321
172, 4.245059
173, 4.241107
174, 4.231458
175, 4.227588
176, 4.22514
177, 4.217844
178, 4.213844
179, 4.211275
180, 4.189982
181, 4.180669
182, 4.174422
183, 4.16554
184, 4.163764
185, 4.147713
186, 4.147569
187, 4.131693
188, 4.119898
189, 4.109796
190, 4.103651
191, 4.100263
192, 4.092201
193, 4.088551
194, 4.079847
195, 4.054546
196, 4.052611
197, 4.045966
198, 4.040897
199, 4.038131
200, 4.026584
201, 4.025078
202, 4.02346
203, 4.019728
204, 4.018783
205, 4.005901
206, 4.003948
207, 3.988404
208, 3.988161
209, 3.97946
210, 3.977262
211, 3.974044
212, 3.972784
213, 3.961298
214, 3.956752
215, 3.946884
216, 3.938104
217, 3.936253
218, 3.929275
219, 3.910805
220, 3.91073
221, 3.893509
222, 3.887329
223, 3.88303
224, 3.880879
225, 3.875522
226, 3.873256
227, 3.866226
228, 3.852817
229, 3.851777
230, 3.847598
231, 3.832169
232, 3.824284
233, 3.812796
234, 3.810936
235, 3.800069
236, 3.779444
237, 3.772667
238, 3.766826
239, 3.765149
240, 3.760746
241, 3.742015
242, 3.731725
243, 3.7284
244, 3.722495
245, 3.715371
246, 3.692446
247, 3.691349
248, 3.676358
249, 3.674072
250, 3.67368
251, 3.670091
252, 3.666645
253, 3.65071
254, 3.646978
255, 3.643434
256, 3.641008
257, 3.627453
258, 3.626479
259, 3.616695
260, 3.601151
261, 3.591033
262, 3.576473
263, 3.563993
264, 3.548331
265, 3.548005
266, 3.538027
267, 3.529506
268, 3.525621
269, 3.525622
270, 3.517434
271, 3.517137
272, 3.49729
