#  foam_annealed3_s2.fe
  D_time     energy      minL    scale         p cells
    0.1600  5.3186021  0.118858   8.0223  0.000751  1000
    0.1600  5.3186021  0.118757   6.8382  0.000751  1000
    0.1600  5.3186020  0.118837   5.3163  0.000751  1000
    0.1600  5.3186020  0.118700   6.4219  0.000751  1000
#
    0.1700  5.3180512  0.118686  26.6632  0.000794  1000
    0.1700  5.3180511  0.118224  12.0861  0.000794  1000
    0.1700  5.3180511  0.118232   6.8963  0.000794  1000
    0.1700  5.3180511  0.118134   9.1001  0.000794  1000
    0.1700  5.3180511  0.118159   5.9984  0.000794  1000
    0.1700  5.3180511  0.118102   5.7091  0.000794  1000
#
    0.1800  5.3174988  0.118121  27.3901  0.000838  1000
    0.1800  5.3174988  0.117776  15.9541  0.000838  1000
    0.1800  5.3174987  0.117565   7.0786  0.000838  1000
    0.1800  5.3174987  0.117575   6.1906  0.000838  1000
    0.1800  5.3174987  0.117519   7.4676  0.000838  1000
    0.1800  5.3174987  0.117492   5.8181  0.000838  1000
#
    0.1900  5.3169451  0.117492  29.2972  0.000885  1000
    0.1900  5.3169450  0.116840   5.7095  0.000885  1000
    0.1900  5.3169450  0.116930  10.7465  0.000885  1000
    0.1900  5.3169449  0.116866   7.7513  0.000885  1000
    0.1900  5.3169449  0.116852   4.1724  0.000885  1000
    0.1900  5.3169449  0.116835   4.4212  0.000885  1000
#
    0.2000  5.3163899  0.116799  22.9343  0.000933  1000
    0.2000  5.3163898  0.116314  13.6239  0.000933  1000
    0.2000  5.3163898  0.116277   8.6856  0.000933  1000
    0.2000  5.3163898  0.116148   9.3541  0.000933  1000
    0.2000  5.3163898  0.116189   4.8542  0.000933  1000
    0.2000  5.3163897  0.116146   6.8861  0.000933  1000
#
    0.2100  5.3158332  0.116098  26.7104  0.000983  1000
    0.2100  5.3158331  0.115707  11.2357  0.000983  1000
    0.2100  5.3158331  0.115604  12.3540  0.000983  1000
    0.2100  5.3158331  0.115531   9.2939  0.000983  1000
    0.2100  5.3158331  0.115512   4.8488  0.000983  1000
    0.2100  5.3158331  0.115496   5.9073  0.000983  1000
#
    0.2200  5.3152752  0.115469  23.2765  0.001035  1000
    0.2200  5.3152751  0.115044  14.4916  0.001035  1000
    0.2200  5.3152751  0.114878  11.8371  0.001035  1000
    0.2200  5.3152750  0.114739   8.0886  0.001035  1000
    0.2200  5.3152750  0.114763   3.6885  0.001035  1000
    0.2200  5.3152750  0.114694   2.7965  0.001035  1000
#
    0.2300  5.3147156  0.114690  22.8963  0.001089  1000
    0.2300  5.3147156  0.114189  13.4765  0.001089  1000
    0.2300  5.3147155  0.114121  15.4033  0.001089  1000
    0.2300  5.3147155  0.114030   8.2298  0.001089  1000
    0.2300  5.3147155  0.113993   3.1833  0.001089  1000
    0.2300  5.3147155  0.113989   3.2970  0.001089  1000
#
    0.2400  5.3141545  0.113909  31.2296  0.001145  1000
    0.2400  5.3141545  0.113469  14.2147  0.001145  1000
    0.2400  5.3141544  0.113308   5.9130  0.001145  1000
    0.2400  5.3141544  0.113260   2.6987  0.001145  1000
    0.2400  5.3141544  0.113213   8.4077  0.001145  1000
    0.2400  5.3141544  0.113199   4.5396  0.001145  1000
#
    0.2500  5.3135919  0.113161  26.3440  0.001202  1000
    0.2500  5.3135919  0.112622  15.3980  0.001202  1000
    0.2500  5.3135918  0.112552   9.0122  0.001202  1000
    0.2500  5.3135918  0.112321   8.8668  0.001202  1000
    0.2500  5.3135918  0.112381   8.0132  0.001202  1000
    0.2500  5.3135918  0.112382   5.8647  0.001202  1000
#
    0.2600  5.3130279  0.112256  25.3874  0.001262  1000
    0.2600  5.3130278  0.111627   6.3201  0.001262  1000
    0.2600  5.3130278  0.111688  11.1250  0.001262  1000
    0.2600  5.3130277  0.111600   9.5125  0.001262  1000
    0.2600  5.3130277  0.111555   6.8285  0.001262  1000
    0.2600  5.3130277  0.111512   5.1996  0.001262  1000
#
    0.2700  5.3124623  0.111461  24.0156  0.001323  1000
    0.2700  5.3124622  0.110885  13.0847  0.001323  1000
    0.2700  5.3124622  0.110819  10.0801  0.001323  1000
    0.2700  5.3124622  0.110697   4.6290  0.001323  1000
    0.2700  5.3124622  0.110718   5.7823  0.001323  1000
    0.2700  5.3124621  0.110623   7.4185  0.001323  1000
#
    0.2800  5.3118952  0.110587  31.3242  0.001386  1000
    0.2800  5.3118951  0.110115  13.5602  0.001386  1000
    0.2800  5.3118950  0.109778   6.5612  0.001386  1000
    0.2800  5.3118950  0.109669   7.1846  0.001386  1000
    0.2800  5.3118950  0.109748   4.8895  0.001386  1000
    0.2800  5.3118950  0.109634   2.1440  0.001386  1000
#
    0.2900  5.3113264  0.109618  21.5977  0.001451  1000
    0.2900  5.3113263  0.108847  10.1908  0.001451  1000
    0.2900  5.3113263  0.108911   3.0223  0.001451  1000
    0.2900  5.3113263  0.108810   6.6236  0.001451  1000
    0.2900  5.3113262  0.108844   4.5335  0.001451  1000
    0.2900  5.3113262  0.108764   4.9520  0.001451  1000
#
    0.3000  5.3107561  0.108675  19.9204  0.001518  1000
    0.3000  5.3107560  0.108115  11.2055  0.001518  1000
    0.3000  5.3107559  0.107971  10.6023  0.001518  1000
    0.3000  5.3107559  0.107772   9.0914  0.001518  1000
    0.3000  5.3107559  0.107846   4.5900  0.001518  1000
    0.3000  5.3107559  0.107783   5.9362  0.001518  1000
#
    0.3100  5.3101842  0.107759  16.2569  0.001587  1000
    0.3100  5.3101841  0.106917  10.2079  0.001587  1000
    0.3100  5.3101840  0.106963   7.4826  0.001587  1000
    0.3100  5.3101840  0.106820   3.7727  0.001587  1000
    0.3100  5.3101840  0.106819   4.5449  0.001587  1000
    0.3100  5.3101840  0.106755   4.9995  0.001587  1000
#
    0.3200  5.3096106  0.106653  20.5935  0.001657  1000
    0.3200  5.3096105  0.105995  13.7447  0.001657  1000
    0.3200  5.3096105  0.105904  10.3555  0.001657  1000
    0.3200  5.3096104  0.105735   6.0580  0.001657  1000
    0.3200  5.3096104  0.105762   5.9007  0.001657  1000
    0.3200  5.3096104  0.105685   2.6717  0.001657  1000
#
    0.3300  5.3090354  0.105654  16.7519  0.001730  1000
    0.3300  5.3090353  0.104952  11.2765  0.001730  1000
    0.3300  5.3090352  0.104813   6.9144  0.001730  1000
    0.3300  5.3090352  0.104606   8.6653  0.001730  1000
    0.3300  5.3090352  0.104643   6.4435  0.001730  1000
    0.3300  5.3090352  0.104561   9.0908  0.001730  1000
#
    0.3400  5.3084584  0.104445  18.1445  0.001805  1000
    0.3400  5.3084584  0.103805   9.0896  0.001805  1000
    0.3400  5.3084583  0.103670   9.0468  0.001805  1000
    0.3400  5.3084583  0.103479  11.4891  0.001805  1000
    0.3400  5.3084583  0.103479  10.8532  0.001805  1000
    0.3400  5.3084582  0.103387   6.2556  0.001805  1000
#
    0.3500  5.3078798  0.103358  14.7834  0.001881  1000
    0.3500  5.3078797  0.102475   6.2920  0.001881  1000
    0.3500  5.3078797  0.102428   7.6649  0.001881  1000
    0.3500  5.3078796  0.102158   7.0318  0.001881  1000
    0.3500  5.3078796  0.102194   7.7519  0.001881  1000
    0.3500  5.3078796  0.102123   5.0571  0.001881  1000
#
    0.3600  5.3072994  0.102026  19.3473  0.001960  1000
    0.3600  5.3072993  0.101225  16.3496  0.001960  1000
    0.3600  5.3072993  0.101065   9.3913  0.001960  1000
    0.3600  5.3072993  0.100893   9.4690  0.001960  1000
    0.3600  5.3072993  0.100904   4.1249  0.001960  1000
    0.3600  5.3072992  0.100785   9.5733  0.001960  1000
#
    0.3700  5.3067172  0.100719  14.0934  0.002040  1000
    0.3700  5.3067171  0.099866   7.2363  0.002040  1000
    0.3700  5.3067171  0.099742   6.5630  0.002040  1000
    0.3700  5.3067171  0.099531   5.4807  0.002040  1000
    0.3700  5.3067171  0.099534   1.4863  0.002040  1000
    0.3700  5.3067170  0.099431  11.0403  0.002040  1000
#
    0.3800  5.3061333  0.099445  12.6580  0.002123  1000
