#  foam_annealed3_s6.fe
  D_time     energy      minL    scale         p cells
    0.0000  5.3307901  0.001049  12.0507  0.000266  1000
    0.0000  5.3307129  0.001706   8.4388  0.000266  1000
    0.0000  5.3306924  0.002770   4.1550  0.000266  1000
    0.0000  5.3306801  0.001913   1.3410  0.000266  1000
    0.0000  5.3306784  0.001157   0.2289  0.000266  1000
    0.0000  5.3306761  0.005307   1.6762  0.000266  1000
#
    0.0000  5.3306356  0.052413  55.3073  0.000266  1000
    0.0000  5.3305947  0.037035  45.6223  0.000266  1000
    0.0000  5.3305845  0.000861   6.7603  0.000266  1000
#
    0.0000  5.3306114  0.102636  71.2329  0.000266  1000
    0.0000  5.3305697  0.102169  49.4523  0.000266  1000
    0.0000  5.3305601  0.101550  45.1049  0.000266  1000
    0.0000  5.3305550  0.101615  38.7446  0.000266  1000
    0.0000  5.3305526  0.101609  37.8192  0.000266  1000
    0.0000  5.3305507  0.101586  28.4550  0.000266  1000
#
# nndmp := 1
    0.0100  5.3301831  0.102021  68.9701  0.000277  1000
    0.0100  5.3301553  0.102237  56.1082  0.000277  1000
    0.0100  5.3301474  0.101977  43.0578  0.000277  1000
    0.0100  5.3301434  0.101921  29.0137  0.000277  1000
    0.0100  5.3301411  0.102024  26.8195  0.000277  1000
    0.0100  5.3301396  0.101763  32.4590  0.000277  1000
#
    0.0200  5.3297272  0.102118  26.8880  0.000290  1000
    0.0200  5.3297263  0.102081  17.5831  0.000290  1000
    0.0200  5.3297258  0.102197  28.4371  0.000290  1000
    0.0200  5.3297252  0.102008  23.7844  0.000290  1000
    0.0200  5.3297248  0.102162  23.8158  0.000290  1000
    0.0200  5.3297245  0.101991  20.9343  0.000290  1000
#
    0.0300  5.3293117  0.102334  19.8811  0.000304  1000
    0.0300  5.3293115  0.102376  15.8420  0.000304  1000
    0.0300  5.3293113  0.102292  21.7791  0.000304  1000
    0.0300  5.3293111  0.102260  18.7525  0.000304  1000
    0.0300  5.3293109  0.102274  16.6132  0.000304  1000
    0.0300  5.3293108  0.102289  14.1838  0.000304  1000
#
    0.0400  5.3288967  0.102588  21.9344  0.000320  1000
    0.0400  5.3288965  0.102592  21.6964  0.000320  1000
    0.0400  5.3288964  0.102628  22.4120  0.000320  1000
    0.0400  5.3288963  0.102586  18.0403  0.000320  1000
    0.0400  5.3288961  0.102606  13.0331  0.000320  1000
    0.0400  5.3288960  0.102594  15.9624  0.000320  1000
#
    0.0500  5.3284808  0.102871  12.3541  0.000337  1000
    0.0500  5.3284807  0.102893  20.4306  0.000337  1000
    0.0500  5.3284806  0.102834  16.8276  0.000337  1000
    0.0500  5.3284805  0.102908   6.2714  0.000337  1000
    0.0500  5.3284804  0.102818  14.0067  0.000337  1000
    0.0500  5.3284804  0.102870   8.0182  0.000337  1000
#
    0.0600  5.3280640  0.103135  18.3245  0.000355  1000
    0.0600  5.3280639  0.103169  15.6451  0.000355  1000
    0.0600  5.3280639  0.103095   9.5672  0.000355  1000
    0.0600  5.3280638  0.103132   9.2139  0.000355  1000
    0.0600  5.3280638  0.103135  12.2833  0.000355  1000
    0.0600  5.3280637  0.103130   5.7872  0.000355  1000
#
    0.0700  5.3276463  0.103430  21.1226  0.000374  1000
    0.0700  5.3276462  0.103459  19.8388  0.000374  1000
    0.0700  5.3276461  0.103346   9.2781  0.000374  1000
    0.0700  5.3276461  0.103363   8.0079  0.000374  1000
    0.0700  5.3276460  0.103098   9.4229  0.000374  1000
    0.0700  5.3276460  0.103166   9.9113  0.000374  1000
#
    0.0800  5.3272271  0.099585  19.9581  0.000395  1000
    0.0800  5.3272270  0.098427  17.5246  0.000395  1000
    0.0800  5.3272269  0.097746  10.3307  0.000395  1000
    0.0800  5.3272269  0.097618   9.3301  0.000395  1000
    0.0800  5.3272269  0.097450   9.0365  0.000395  1000
    0.0800  5.3272269  0.097329   8.8200  0.000395  1000
#
    0.0900  5.3268067  0.093378  16.6511  0.000417  1000
    0.0900  5.3268066  0.092547  13.0494  0.000417  1000
    0.0900  5.3268065  0.090267   6.9953  0.000417  1000
    0.0900  5.3268065  0.090356  14.3089  0.000417  1000
    0.0900  5.3268064  0.090205   3.4790  0.000417  1000
    0.0900  5.3268064  0.089778   5.8723  0.000417  1000
#
    0.1000  5.3263849  0.085912  17.4469  0.000441  1000
    0.1000  5.3263849  0.084476  12.3910  0.000441  1000
    0.1000  5.3263848  0.083528  10.4240  0.000441  1000
    0.1000  5.3263848  0.083064   2.7073  0.000441  1000
    0.1000  5.3263848  0.082462  10.0043  0.000441  1000
    0.1000  5.3263847  0.081776   6.8016  0.000441  1000
#
    0.1100  5.3259619  0.077649  15.9115  0.000466  1000
    0.1100  5.3259619  0.074847  12.7083  0.000466  1000
    0.1100  5.3259618  0.073334  11.6777  0.000466  1000
    0.1100  5.3259618  0.072200   8.6148  0.000466  1000
    0.1100  5.3259617  0.069581  10.8344  0.000466  1000
    0.1100  5.3259617  0.068687   7.1046  0.000466  1000
#
    0.1200  5.3255376  0.063158   8.6191  0.000492  1000
    0.1200  5.3255375  0.059340  11.6072  0.000492  1000
    0.1200  5.3255375  0.056727  10.0460  0.000492  1000
    0.1200  5.3255374  0.052576   9.4858  0.000492  1000
    0.1200  5.3255374  0.048425   8.2631  0.000492  1000
    0.1200  5.3255374  0.046607   8.9287  0.000492  1000
#
    0.1300  5.3251117  0.034831  12.6798  0.000520  1000
    0.1300  5.3251111  0.000347   6.2313  0.000520  1000
#
    0.1300  5.3251564  0.106820  55.8541  0.000520  1000
    0.1300  5.3251172  0.106307  67.0497  0.000520  1000
    0.1300  5.3251059  0.106077  42.7612  0.000520  1000
    0.1300  5.3251014  0.105919  38.2847  0.000520  1000
    0.1300  5.3250990  0.106077  34.1274  0.000520  1000
    0.1300  5.3250970  0.105803  25.9079  0.000520  1000
#
# nndmp := 2
    0.1400  5.3247079  0.106057  72.5178  0.000549  1000
    0.1400  5.3246831  0.106698  52.3750  0.000549  1000
    0.1400  5.3246759  0.106345  49.1526  0.000549  1000
    0.1400  5.3246718  0.106334  36.1311  0.000549  1000
    0.1400  5.3246696  0.106274  38.3406  0.000549  1000
    0.1400  5.3246682  0.106151  30.7507  0.000549  1000
#
    0.1500  5.3242380  0.106515  29.1597  0.000579  1000
    0.1500  5.3242374  0.106531  23.0362  0.000579  1000
    0.1500  5.3242368  0.106505  28.3724  0.000579  1000
    0.1500  5.3242362  0.106318  17.8479  0.000579  1000
    0.1500  5.3242359  0.106528  12.9974  0.000579  1000
    0.1500  5.3242356  0.106312  19.4167  0.000579  1000
#
    0.1600  5.3238047  0.106742  24.7969  0.000611  1000
    0.1600  5.3238044  0.106751  20.5679  0.000611  1000
    0.1600  5.3238041  0.106843  14.5827  0.000611  1000
    0.1600  5.3238039  0.106648  15.8199  0.000611  1000
    0.1600  5.3238038  0.106761  24.4779  0.000611  1000
    0.1600  5.3238036  0.106609  15.8828  0.000611  1000
#
    0.1700  5.3233715  0.107057  22.8727  0.000644  1000
    0.1700  5.3233714  0.107000  18.9523  0.000644  1000
    0.1700  5.3233713  0.107069   7.9715  0.000644  1000
    0.1700  5.3233712  0.106987   7.9530  0.000644  1000
    0.1700  5.3233711  0.107011  10.6514  0.000644  1000
    0.1700  5.3233710  0.107006  11.3632  0.000644  1000
#
    0.1800  5.3229374  0.107323  22.6125  0.000679  1000
    0.1800  5.3229373  0.107352  19.0339  0.000679  1000
    0.1800  5.3229373  0.107338  12.5803  0.000679  1000
    0.1800  5.3229372  0.107389   5.3442  0.000679  1000
    0.1800  5.3229371  0.107276   8.3196  0.000679  1000
    0.1800  5.3229370  0.107450   8.0953  0.000679  1000
#
    0.1900  5.3225022  0.107651  23.4569  0.000715  1000
    0.1900  5.3225020  0.107707  11.3418  0.000715  1000
    0.1900  5.3225020  0.107598  14.3652  0.000715  1000
    0.1900  5.3225019  0.107681  17.0456  0.000715  1000
    0.1900  5.3225019  0.107672  12.2377  0.000715  1000
    0.1900  5.3225018  0.107639  11.6134  0.000715  1000
#
    0.2000  5.3220655  0.107959  18.8466  0.000753  1000
    0.2000  5.3220655  0.107966  15.2324  0.000753  1000
    0.2000  5.3220654  0.107903   7.5380  0.000753  1000
    0.2000  5.3220654  0.107964   7.2550  0.000753  1000
    0.2000  5.3220654  0.107959   8.7835  0.000753  1000
    0.2000  5.3220653  0.107956  11.9431  0.000753  1000
#
    0.2100  5.3216275  0.108281  17.5368  0.000792  1000
    0.2100  5.3216274  0.108296  11.8473  0.000792  1000
    0.2100  5.3216274  0.108262  12.6385  0.000792  1000
    0.2100  5.3216273  0.108268  11.2199  0.000792  1000
    0.2100  5.3216273  0.108260  10.8752  0.000792  1000
    0.2100  5.3216273  0.108260   4.3874  0.000792  1000
#
    0.2200  5.3211880  0.108603  19.2964  0.000832  1000
    0.2200  5.3211880  0.108633  11.7050  0.000832  1000
    0.2200  5.3211879  0.108558  11.9520  0.000832  1000
    0.2200  5.3211879  0.108607   9.3301  0.000832  1000
    0.2200  5.3211878  0.108556   5.6087  0.000832  1000
    0.2200  5.3211878  0.108587  12.0859  0.000832  1000
#
    0.2300  5.3207470  0.108915  18.9509  0.000874  1000
    0.2300  5.3207470  0.108923  14.5368  0.000874  1000
    0.2300  5.3207469  0.108858   5.4866  0.000874  1000
    0.2300  5.3207469  0.108917   7.3681  0.000874  1000
    0.2300  5.3207469  0.108885   8.0977  0.000874  1000
    0.2300  5.3207468  0.108911   8.6436  0.000874  1000
#
    0.2400  5.3203046  0.109238  19.3722  0.000918  1000
    0.2400  5.3203045  0.109236  12.4753  0.000918  1000
    0.2400  5.3203045  0.109199   9.1971  0.000918  1000
    0.2400  5.3203045  0.109207   6.9654  0.000918  1000
    0.2400  5.3203045  0.109231   5.2539  0.000918  1000
    0.2400  5.3203044  0.109205   2.9667  0.000918  1000
#
    0.2500  5.3198606  0.109537  25.7173  0.000963  1000
    0.2500  5.3198605  0.109545   7.6327  0.000963  1000
    0.2500  5.3198605  0.109539   5.5111  0.000963  1000
    0.2500  5.3198605  0.109518   9.8268  0.000963  1000
    0.2500  5.3198604  0.109539   2.3767  0.000963  1000
    0.2500  5.3198604  0.109523   6.4919  0.000963  1000
#
    0.2600  5.3194150  0.109861  17.3478  0.001009  1000
    0.2600  5.3194149  0.109921   9.5187  0.001009  1000
    0.2600  5.3194149  0.109815   6.1105  0.001009  1000
    0.2600  5.3194149  0.109858   6.3826  0.001009  1000
    0.2600  5.3194148  0.109854   7.3830  0.001009  1000
    0.2600  5.3194148  0.109857   4.1799  0.001009  1000
#
    0.2700  5.3189679  0.110188  19.2454  0.001057  1000
    0.2700  5.3189678  0.110233   4.6144  0.001057  1000
    0.2700  5.3189678  0.110183   6.7077  0.001057  1000
    0.2700  5.3189677  0.110169   9.5425  0.001057  1000
    0.2700  5.3189677  0.110172   8.3366  0.001057  1000
    0.2700  5.3189677  0.110169   4.3498  0.001057  1000
#
    0.2800  5.3185190  0.110493  16.9861  0.001106  1000
    0.2800  5.3185189  0.110533  10.2515  0.001106  1000
    0.2800  5.3185189  0.110494   9.0736  0.001106  1000
    0.2800  5.3185189  0.110493   7.6068  0.001106  1000
    0.2800  5.3185189  0.110493  10.3742  0.001106  1000
    0.2800  5.3185188  0.110497   5.1861  0.001106  1000
#
    0.2900  5.3180686  0.110258  19.3133  0.001157  1000
    0.2900  5.3180686  0.109985  10.6726  0.001157  1000
    0.2900  5.3180685  0.109791  10.6416  0.001157  1000
    0.2900  5.3180685  0.109735  10.4841  0.001157  1000
    0.2900  5.3180685  0.109647   3.7648  0.001157  1000
    0.2900  5.3180685  0.109610   3.3676  0.001157  1000
#
    0.3000  5.3176167  0.108405  17.1172  0.001209  1000
    0.3000  5.3176166  0.108035  19.2542  0.001209  1000
    0.3000  5.3176166  0.107730   5.7072  0.001209  1000
    0.3000  5.3176166  0.107753   8.4047  0.001209  1000
    0.3000  5.3176165  0.107647   7.4205  0.001209  1000
    0.3000  5.3176165  0.107602   6.2899  0.001209  1000
#
    0.3100  5.3171630  0.106306  19.0482  0.001263  1000
    0.3100  5.3171630  0.106067  11.7412  0.001263  1000
    0.3100  5.3171629  0.105811   6.9998  0.001263  1000
    0.3100  5.3171629  0.105717  10.4127  0.001263  1000
    0.3100  5.3171629  0.105403   6.7560  0.001263  1000
    0.3100  5.3171629  0.105393   4.4695  0.001263  1000
#
    0.3200  5.3167078  0.104148  21.5638  0.001319  1000
    0.3200  5.3167077  0.103823  13.2595  0.001319  1000
    0.3200  5.3167077  0.103481   2.4865  0.001319  1000
    0.3200  5.3167076  0.103366   6.1383  0.001319  1000
    0.3200  5.3167076  0.103219   5.6792  0.001319  1000
    0.3200  5.3167076  0.103202   6.5586  0.001319  1000
#
    0.3300  5.3162506  0.101848  14.4972  0.001376  1000
    0.3300  5.3162506  0.101481   8.1820  0.001376  1000
    0.3300  5.3162505  0.101112   9.3868  0.001376  1000
    0.3300  5.3162505  0.101030  10.6067  0.001376  1000
    0.3300  5.3162505  0.100949   3.1228  0.001376  1000
    0.3300  5.3162505  0.100817   5.1646  0.001376  1000
#
    0.3400  5.3157919  0.099484  17.3654  0.001434  1000
    0.3400  5.3157918  0.098513   7.6805  0.001434  1000
    0.3400  5.3157918  0.098263   6.9522  0.001434  1000
    0.3400  5.3157918  0.098076   7.9588  0.001434  1000
    0.3400  5.3157917  0.098126   8.6928  0.001434  1000
    0.3400  5.3157917  0.098062   3.9390  0.001434  1000
#
    0.3500  5.3153313  0.096599  21.5551  0.001495  1000
    0.3500  5.3153313  0.096095  14.4725  0.001495  1000
    0.3500  5.3153312  0.095709   9.3689  0.001495  1000
    0.3500  5.3153312  0.095493   7.8624  0.001495  1000
    0.3500  5.3153312  0.095339   8.6484  0.001495  1000
    0.3500  5.3153312  0.095294   2.8831  0.001495  1000
#
    0.3600  5.3148690  0.093771  23.0678  0.001556  1000
    0.3600  5.3148689  0.092498   9.0689  0.001556  1000
    0.3600  5.3148688  0.092205   5.7571  0.001556  1000
    0.3600  5.3148688  0.092115   5.4190  0.001556  1000
    0.3600  5.3148688  0.092037   5.9706  0.001556  1000
    0.3600  5.3148688  0.091928   1.6043  0.001556  1000
#
    0.3700  5.3144048  0.090364  21.3098  0.001620  1000
    0.3700  5.3144048  0.089537   8.3666  0.001620  1000
    0.3700  5.3144047  0.089089   6.2945  0.001620  1000
    0.3700  5.3144047  0.088475  12.1529  0.001620  1000
    0.3700  5.3144047  0.087978   5.9796  0.001620  1000
    0.3700  5.3144046  0.087974   4.7502  0.001620  1000
#
    0.3800  5.3139388  0.086340  15.5763  0.001685  1000
    0.3800  5.3139387  0.085482  11.6624  0.001685  1000
    0.3800  5.3139387  0.084408   9.0573  0.001685  1000
    0.3800  5.3139386  0.084114   7.9969  0.001685  1000
    0.3800  5.3139386  0.083963   3.3474  0.001685  1000
    0.3800  5.3139386  0.083723   3.5178  0.001685  1000
#
    0.3900  5.3134710  0.081933  15.2317  0.001751  1000
    0.3900  5.3134709  0.080389  11.1596  0.001751  1000
    0.3900  5.3134708  0.078907   2.1040  0.001751  1000
    0.3900  5.3134708  0.078747   2.9331  0.001751  1000
    0.3900  5.3134708  0.078126   9.0127  0.001751  1000
    0.3900  5.3134708  0.077827   5.0053  0.001751  1000
#
    0.4000  5.3130011  0.075625  15.8064  0.001819  1000
    0.4000  5.3130011  0.073784   9.8219  0.001819  1000
    0.4000  5.3130010  0.072117   6.1026  0.001819  1000
    0.4000  5.3130010  0.071508   4.1295  0.001819  1000
    0.4000  5.3130010  0.070991   7.6391  0.001819  1000
    0.4000  5.3130010  0.069396   6.5686  0.001819  1000
#
    0.4100  5.3125294  0.066939  12.2910  0.001889  1000
    0.4100  5.3125293  0.063804  11.5737  0.001889  1000
    0.4100  5.3125293  0.061013   6.3252  0.001889  1000
    0.4100  5.3125293  0.058602  10.5929  0.001889  1000
    0.4100  5.3125292  0.056284   5.1743  0.001889  1000
    0.4100  5.3125292  0.051724   4.2006  0.001889  1000
#
    0.4200  5.3120557  0.044730  12.2221  0.001961  1000
    0.4200  5.3120554  0.026194  12.1609  0.001961  1000
    0.4200  5.3120548  0.000134   2.5574  0.001961  1000
#
    0.4200  5.3121101  0.066570  60.2246  0.001961  1000
    0.4200  5.3120669  0.065653  60.4043  0.001961  1000
    0.4200  5.3120561  0.065934  52.2951  0.001961  1000
    0.4200  5.3120509  0.068155  30.2297  0.001961  1000
    0.4200  5.3120485  0.068989  26.4103  0.001961  1000
    0.4200  5.3120462  0.071215  30.2960  0.001961  1000
#
# nndmp := 3
    0.4300  5.3116241  0.071224  68.1874  0.002034  1000
    0.4300  5.3115877  0.053766  54.6840  0.002034  1000
    0.4300  5.3115787  0.042111  50.3103  0.002034  1000
    0.4300  5.3115745  0.013680  27.5710  0.002034  1000
    0.4300  5.3115731  0.000328   3.7799  0.002034  1000
#
    0.4300  5.3116086  0.075379  50.4731  0.002034  1000
    0.4300  5.3115666  0.071296  65.3769  0.002034  1000
    0.4300  5.3115550  0.070307  58.3576  0.002034  1000
    0.4300  5.3115500  0.069316  37.1745  0.002034  1000
    0.4300  5.3115474  0.069374  24.7537  0.002034  1000
    0.4300  5.3115459  0.068951  44.4958  0.002034  1000
#
# nndmp := 4
    0.4400  5.3111104  0.071476  73.8019  0.002109  1000
    0.4400  5.3110804  0.063793  62.0023  0.002109  1000
    0.4400  5.3110729  0.064166  54.9516  0.002109  1000
    0.4400  5.3110691  0.062346  35.9798  0.002109  1000
    0.4400  5.3110670  0.063033  38.5837  0.002109  1000
    0.4400  5.3110655  0.061983  36.0474  0.002109  1000
#
    0.4500  5.3105832  0.056961  33.7408  0.002185  1000
    0.4500  5.3105824  0.056244  25.6515  0.002185  1000
    0.4500  5.3105819  0.055165  24.1283  0.002185  1000
    0.4500  5.3105814  0.055207  26.6947  0.002185  1000
    0.4500  5.3105811  0.054566  24.1398  0.002185  1000
    0.4500  5.3105808  0.054647  18.9151  0.002185  1000
#
    0.4600  5.3100974  0.050199  18.0933  0.002264  1000
    0.4600  5.3100971  0.048705  18.7238  0.002264  1000
    0.4600  5.3100968  0.046388  14.4698  0.002264  1000
    0.4600  5.3100967  0.046071  15.9576  0.002264  1000
    0.4600  5.3100965  0.045416  14.2207  0.002264  1000
    0.4600  5.3100964  0.045041  13.7831  0.002264  1000
#
    0.4700  5.3096107  0.040477  18.5036  0.002343  1000
    0.4700  5.3096105  0.038490   9.9404  0.002343  1000
    0.4700  5.3096104  0.035731  14.8304  0.002343  1000
    0.4700  5.3096103  0.034472   7.4740  0.002343  1000
    0.4700  5.3096102  0.033384  10.1395  0.002343  1000
    0.4700  5.3096101  0.032274   8.0975  0.002343  1000
#
    0.4800  5.3091223  0.027114  22.2516  0.002425  1000
    0.4800  5.3091221  0.022060  15.6075  0.002425  1000
    0.4800  5.3091220  0.018321  13.5951  0.002425  1000
    0.4800  5.3091220  0.015755   8.2861  0.002425  1000
    0.4800  5.3091219  0.011083  15.0541  0.002425  1000
    0.4800  5.3091218  0.005649   8.3195  0.002425  1000
#
    0.4800  5.3091579  0.010010  19.8771  0.002425  1000
    0.4800  5.3091097  0.002774   2.3681  0.002425  1000
#
    0.4800  5.3090247  0.049737  60.3639  0.002425  1000
    0.4800  5.3089833  0.000754   8.3789  0.002425  1000
#
    0.4800  5.3089942  0.052509  70.1776  0.002425  1000
    0.4800  5.3089533  0.050136  59.7363  0.002425  1000
    0.4800  5.3089435  0.045350  56.0151  0.002425  1000
    0.4800  5.3089389  0.044123  44.6037  0.002425  1000
    0.4800  5.3089364  0.042268  38.0783  0.002425  1000
    0.4800  5.3089348  0.041776  29.8042  0.002425  1000
#
# nndmp := 5
    0.4900  5.3084855  0.051427  69.2504  0.002509  1000
    0.4900  5.3084546  0.039084  66.6133  0.002509  1000
    0.4900  5.3084465  0.034861  51.4784  0.002509  1000
    0.4900  5.3084425  0.028701  32.6871  0.002509  1000
    0.4900  5.3084405  0.021718  31.7677  0.002509  1000
    0.4900  5.3084389  0.004180  17.0490  0.002509  1000
#
    0.4900  5.3084532  0.096399  38.5869  0.002509  1000
    0.4900  5.3084054  0.099180  70.8513  0.002509  1000
    0.4900  5.3083923  0.097203  51.0318  0.002509  1000
    0.4900  5.3083880  0.098469  45.6271  0.002509  1000
    0.4900  5.3083856  0.097358  39.9379  0.002509  1000
    0.4900  5.3083842  0.098339  34.5609  0.002509  1000
#
# nndmp := 6
    0.5000  5.3079224  0.093429  72.3637  0.002595  1000
    0.5000  5.3078966  0.091903  64.1607  0.002595  1000
    0.5000  5.3078889  0.091615  55.7171  0.002595  1000
    0.5000  5.3078856  0.091663  40.2944  0.002595  1000
    0.5000  5.3078830  0.091450  33.1808  0.002595  1000
    0.5000  5.3078817  0.091632  34.9573  0.002595  1000
#
    0.5100  5.3073773  0.083330  32.9388  0.002683  1000
    0.5100  5.3073765  0.087441  27.3703  0.002683  1000
    0.5100  5.3073760  0.083972  23.2749  0.002683  1000
    0.5100  5.3073756  0.085870  19.7819  0.002683  1000
    0.5100  5.3073754  0.084065  13.4792  0.002683  1000
    0.5100  5.3073751  0.085025  21.1147  0.002683  1000
#
    0.5200  5.3068691  0.078411  23.2033  0.002772  1000
    0.5200  5.3068688  0.077872  20.6251  0.002772  1000
    0.5200  5.3068686  0.077136  14.7439  0.002772  1000
    0.5200  5.3068685  0.077550  16.9880  0.002772  1000
