#  foam_annealed3_s6.fe
  D_time     energy      minL    scale         p cells
    0.0000  5.3306761  0.005307   1.6762  0.000266  1000
    0.0000  5.3305845  0.000861   6.7603  0.000266  1000
    0.0000  5.3305507  0.101586  28.4550  0.000266  1000
    0.0100  5.3301396  0.101763  32.4590  0.000277  1000
    0.0200  5.3297245  0.101991  20.9343  0.000290  1000
    0.0300  5.3293108  0.102289  14.1838  0.000304  1000
    0.0400  5.3288960  0.102594  15.9624  0.000320  1000
    0.0500  5.3284804  0.102870   8.0182  0.000337  1000
    0.0600  5.3280637  0.103130   5.7872  0.000355  1000
    0.0700  5.3276460  0.103166   9.9113  0.000374  1000
    0.0800  5.3272269  0.097329   8.8200  0.000395  1000
    0.0900  5.3268064  0.089778   5.8723  0.000417  1000
    0.1000  5.3263847  0.081776   6.8016  0.000441  1000
    0.1100  5.3259617  0.068687   7.1046  0.000466  1000
    0.1200  5.3255374  0.046607   8.9287  0.000492  1000
    0.1300  5.3251111  0.000347   6.2313  0.000520  1000
    0.1300  5.3250970  0.105803  25.9079  0.000520  1000
    0.1400  5.3246682  0.106151  30.7507  0.000549  1000
    0.1500  5.3242356  0.106312  19.4167  0.000579  1000
    0.1600  5.3238036  0.106609  15.8828  0.000611  1000
    0.1700  5.3233710  0.107006  11.3632  0.000644  1000
    0.1800  5.3229370  0.107450   8.0953  0.000679  1000
    0.1900  5.3225018  0.107639  11.6134  0.000715  1000
    0.2000  5.3220653  0.107956  11.9431  0.000753  1000
    0.2100  5.3216273  0.108260   4.3874  0.000792  1000
    0.2200  5.3211878  0.108587  12.0859  0.000832  1000
    0.2300  5.3207468  0.108911   8.6436  0.000874  1000
    0.2400  5.3203044  0.109205   2.9667  0.000918  1000
    0.2500  5.3198604  0.109523   6.4919  0.000963  1000
    0.2600  5.3194148  0.109857   4.1799  0.001009  1000
    0.2700  5.3189677  0.110169   4.3498  0.001057  1000
    0.2800  5.3185188  0.110497   5.1861  0.001106  1000
    0.2900  5.3180685  0.109610   3.3676  0.001157  1000
    0.3000  5.3176165  0.107602   6.2899  0.001209  1000
    0.3100  5.3171629  0.105393   4.4695  0.001263  1000
    0.3200  5.3167076  0.103202   6.5586  0.001319  1000
    0.3300  5.3162505  0.100817   5.1646  0.001376  1000
    0.3400  5.3157917  0.098062   3.9390  0.001434  1000
    0.3500  5.3153312  0.095294   2.8831  0.001495  1000
    0.3600  5.3148688  0.091928   1.6043  0.001556  1000
    0.3700  5.3144046  0.087974   4.7502  0.001620  1000
    0.3800  5.3139386  0.083723   3.5178  0.001685  1000
    0.3900  5.3134708  0.077827   5.0053  0.001751  1000
    0.4000  5.3130010  0.069396   6.5686  0.001819  1000
    0.4100  5.3125292  0.051724   4.2006  0.001889  1000
    0.4200  5.3120548  0.000134   2.5574  0.001961  1000
    0.4200  5.3120462  0.071215  30.2960  0.001961  1000
    0.4300  5.3115731  0.000328   3.7799  0.002034  1000
    0.4300  5.3115459  0.068951  44.4958  0.002034  1000
    0.4400  5.3110655  0.061983  36.0474  0.002109  1000
    0.4500  5.3105808  0.054647  18.9151  0.002185  1000
    0.4600  5.3100964  0.045041  13.7831  0.002264  1000
    0.4700  5.3096101  0.032274   8.0975  0.002343  1000
    0.4800  5.3091218  0.005649   8.3195  0.002425  1000
    0.4800  5.3091097  0.002774   2.3681  0.002425  1000
    0.4800  5.3089833  0.000754   8.3789  0.002425  1000
    0.4800  5.3089348  0.041776  29.8042  0.002425  1000
    0.4900  5.3084389  0.004180  17.0490  0.002509  1000
    0.4900  5.3083842  0.098339  34.5609  0.002509  1000
    0.5000  5.3078817  0.091632  34.9573  0.002595  1000
    0.5100  5.3073751  0.085025  21.1147  0.002683  1000
    0.5200  5.3068682  0.077268  14.4191  0.002772  1000
    0.5300  5.3063591  0.068345  19.5960  0.002864  1000
    0.5400  5.3058469  0.000228   2.7842  0.002957  1000
    0.5400  5.3058303  0.045122  35.7123  0.002957  1000
    0.5500  5.3053274  0.000422   4.1721  0.003052  1000
    0.5500  5.3052335  0.060140  29.9659  0.003052  1000
