polydispersity,average_face_degree,percentage_flag,energy
0.155289272999375,12.664,96.1,4.6701
0.158201029328165,12.684,98.1,4.65963
0.158568290842133,12.65,96.9,4.65706
0.159220056334693,12.688,96.7,4.65586
0.161733969123959,12.66,97.4,4.6466
0.163124912448553,12.58,95.2,4.64401
0.164187089271219,12.618,96,4.63828
0.166413870509536,12.558,96.6,4.63176
0.168475350650395,12.566,97.7,4.622
0.171224688776066,12.57,96,4.61153
0.172844485091157,12.558,95.3,4.60762
0.175276793496564,12.562,95.5,4.59941
0.177447706920188,12.53,96.3,4.59026
0.179387899217251,12.488,95.4,4.58522
0.179560772903584,12.566,94.5,4.58198
0.180998333497845,12.492,95.6,4.58041
0.182737034418981,12.506,94.8,4.57098
0.186401959626113,12.476,94.5,4.55782
0.187765573553193,12.502,94.7,4.55039
0.189983984048043,12.442,93.7,4.54657
0.190650200944626,12.456,94,4.5418
0.191427314284667,12.492,94.5,4.5382
0.192007792835541,12.464,93.9,4.53696
0.193237914126879,12.436,95,4.53475
0.195451211912444,12.418,93.8,4.52942
0.195914553258705,12.432,95.7,4.52494
0.198282307403612,12.37,89.3,4.52167
0.198468207644997,12.4,93.5,4.51675
0.199633211674856,12.388,93,4.51272
0.200084814421682,12.382,93.2,4.51148
0.201222985633643,12.4,92.4,4.50736
0.202518983744284,12.41,92.7,4.50385
0.204146805526644,12.382,94.3,4.49954
0.204713972616299,12.35,92.8,4.49542
0.205575233106214,12.378,93.6,4.49221
0.207958113205123,12.34,92.1,4.48429
0.207964916074611,12.37,93.9,4.48383
0.209377614649698,12.35,94.7,4.47823
0.210252042549498,12.358,93.6,4.47643
0.211708788712318,12.32,91,4.47265
0.213113052499747,12.346,91.4,4.4658
0.213909229488084,12.328,93.1,4.46497
0.215011570728119,12.354,94.7,4.46184
0.215650825607567,12.338,93.2,4.45933
0.216922615533025,12.3,90.9,4.45471
0.218069087011241,12.32,91.6,4.45004
0.218403675466521,12.356,93,4.44633
0.220181159621913,12.312,93.4,4.44117
0.221176647185469,12.322,91.4,4.43939
0.222273963765372,12.31,95.2,4.43444
0.222932897338773,12.296,93.2,4.43202
0.225002735595164,12.228,92.1,4.42573
0.225490166178707,12.266,91.4,4.42722
0.226567376891755,12.302,92.1,4.41861
0.227101588116751,12.246,88.8,4.42117
0.228921612334056,12.122,89,4.41682
0.228933373136686,12.2,88.1,4.41424
0.229112293922644,12.184,93.4,4.41127
0.230239381143598,12.206,90.9,4.40924
0.230618554965897,12.158,91.7,4.4082
0.231386331462608,12.176,87.9,4.40745
0.231891906569142,12.162,88.4,4.40591
0.231927010075023,12.17,90.8,4.40615
0.233661847654071,12.19,91.5,4.39965
0.233840121762392,12.122,88.7,4.40011
0.234977158818279,12.132,87,4.397
0.235626514455198,12.104,88.8,4.39589
0.236446257427241,12.124,89.6,4.39267
0.237535094651574,12.066,87.3,4.38961
0.239387941684937,12.172,89.8,4.38168
0.241494115200968,12.118,87.6,4.37535
0.241901887493601,12.136,88,4.37433
0.244190866216428,12.086,87.8,4.36673
0.245638248083044,12.038,86.4,4.36594
0.247060988353045,12.088,88.6,4.35791
0.248350172220935,12.088,89.3,4.35516
0.248844748797828,12.072,88.6,4.35058
0.248845356370232,12.034,87.3,4.35422
0.250244079521716,12.108,89.3,4.34739
0.250420721285456,12.02,85.9,4.34791
0.251272550356725,12.068,85.2,4.34596
0.252524579168096,12.078,89.2,4.33618
0.253440260707821,12.106,90.4,4.33732
0.253918651760206,12.076,85.8,4.33274
0.254739038464642,12.08,87.2,4.32881
0.255016490651661,12.006,85.1,4.33363
0.255499368162615,12.062,89.1,4.33011
0.256252905508725,12.076,89.4,4.32417
0.257461315285694,11.992,86.8,4.32448
0.258607344053181,12.048,87.6,4.32005
0.258841427042745,12.04,85.8,4.32324
0.259631763698518,11.964,83.9,4.31961
0.260776863050928,12.052,85.1,4.31401
0.260987371019028,11.962,81.2,4.31737
0.262746880103695,11.928,81.9,4.31319
0.263280023003222,12.082,88.7,4.30662
0.263916005440059,12.076,87,4.30416
0.264563715451682,12.086,91.4,4.30029
0.265310400601436,12.06,85.6,4.29957
0.266218677355329,12.06,90,4.2937
0.266849161202451,12.032,83.3,4.29674
0.268457543522314,12.058,85.4,4.29136
0.269231075096857,12.032,88.9,4.28785
0.270588211824715,12.064,85,4.28383
0.270644284217362,12.034,85.5,4.28208
0.271362718451222,12.028,88.8,4.27758
0.272506107790591,12.018,84,4.27758
0.272615358977021,12.036,87.3,4.27586
0.273450372791484,12.02,86.7,4.27132
0.274612405042369,12.036,86.5,4.27158
0.275036410130513,12.042,88.7,4.26732
0.275581249660054,12.018,85.1,4.26806
0.276691247371726,12.014,84,4.26339
0.277046249561943,12.128,91.3,4.25678
0.277773622202314,11.986,87,4.26136
0.278617080166191,12.042,87.7,4.25515
0.27897866284492,12.022,83,4.25585
0.279375872292108,12.096,87,4.25188
0.279737850759738,12.138,91.5,4.24611
0.280974218022975,12.118,88.8,4.24389
0.282003037700385,12.112,88.3,4.24383
0.282197360456371,12.106,88.8,4.24195
0.283145457499982,12.1,89.6,4.23903
0.285123106110698,12.034,86.7,4.23584
0.285280812287372,11.916,85.8,4.23609
0.286200006807421,11.96,86.1,4.23465
0.287142046060562,12.004,86.5,4.23028
0.287721903471421,12.056,86,4.22672
0.288245394626352,12.028,86.7,4.22602
0.289839186050415,11.97,88.1,4.22553
0.290782535647029,12.068,88.7,4.21686
0.292325276076192,11.88,80.8,4.21967
0.29259278668812,11.872,84.7,4.21612
0.293664425563219,12.04,84.5,4.20793
0.294097731117382,11.874,84.9,4.21219
0.294931166782273,11.914,83.5,4.21108
0.295056483568452,11.886,85.7,4.20766
0.295594085399509,12.002,84.3,4.20347
0.297562893061003,12.03,88.7,4.19347
0.297881997241256,11.846,81.1,4.203
0.298583826344982,11.864,83.6,4.20047
0.299890541493684,11.83,81.2,4.19517
0.300508385822067,11.988,82.9,4.19064
0.301716334884732,11.852,82.2,4.19224
0.302648767815769,11.824,81.1,4.18773
0.303245039123335,11.948,83.6,4.18508
0.303288835984205,11.834,81.4,4.18388
0.304340929663674,11.8,81.2,4.18312
0.306311853191758,11.774,79.3,4.17834
0.306912516303363,11.856,83.7,4.17348
0.307266472474728,11.81,80,4.1733
0.309547576105694,11.774,80.6,4.17048
0.309784065536945,11.778,79.8,4.16616
0.311125262558289,11.794,80.5,4.1636
0.311260288580074,11.816,83.3,4.16012
0.311445396424268,11.888,81.9,4.16098
0.313672364232306,11.778,81.1,4.1584
0.314732479151375,11.778,80,4.15446
0.316062389777787,11.762,82.5,4.14982
0.316998110293818,11.758,80.4,4.14536
0.318009121305027,11.778,79.8,4.14192
0.318738265810679,11.912,86.9,4.13504
0.319185623912567,11.914,86.6,4.13333
0.319732480447776,11.754,79.6,4.13841
0.320905504971735,11.742,78.8,4.13416
0.322586995708809,11.722,77.5,4.13151
0.322853779586653,11.738,80,4.12965
0.322963796018091,11.878,84,4.1255
0.324728983853243,11.846,82.8,4.1214
0.325717445670344,11.866,83.6,4.11696
0.326955309567592,11.852,83.1,4.11432
0.327805305804593,11.87,83.1,4.11099
0.329599805488932,11.802,82.8,4.10719
0.330635823186509,11.832,83.3,4.10282
0.331609695205077,11.828,81.2,4.10257
0.331638284317816,11.78,83.9,4.09862
0.333439442223367,11.874,84.9,4.09347
0.333535430426927,11.864,85.1,4.09187
0.335963767849664,11.84,79.7,4.0884
0.336775265452355,11.772,79.7,4.08904
0.338758610593686,11.694,79.4,4.08355
0.339972785443558,11.694,76.9,4.08294
0.340678768039473,11.64,75.9,4.08004
0.342524762486992,11.696,79,4.07231
0.344408964341009,11.62,75.7,4.07639
0.344969053927605,11.682,77.1,4.07001
0.345791696125427,11.664,76.9,4.06592
0.347229844126683,11.628,74.2,4.06448
0.347359066858119,11.704,81.7,4.05742
0.348480086504358,11.714,81.2,4.05469
0.350423084739616,11.682,78.4,4.053
0.350945189957145,11.59,73.8,4.05123
0.353254829989362,11.7,82.2,4.04041
0.353283136405016,11.614,75,4.04797
0.354499915771625,11.572,73.9,4.04428
0.354908684636558,11.666,77.5,4.04005
0.355731432917183,11.67,75.9,4.03601
0.357925872158629,11.6,73.2,4.03459
0.358676901327023,11.6,77.3,4.03172
0.359234201248181,11.658,81,4.0253
0.361753421278356,11.58,76,4.02111
0.362637413567882,11.642,76.3,4.01976
0.364267874312561,11.554,71.7,4.01781
0.364927128706164,11.564,74.5,4.01387
0.365369355357442,11.612,77.2,4.01169
0.366641856532703,11.548,71.9,4.00965
0.367446154517668,11.61,74.4,4.00728
0.368318352064017,11.628,75.2,4.003
0.370547569171362,11.53,72.1,4.00241
0.371156237653228,11.586,76.7,3.99619
0.371441560149912,11.636,75.8,3.99562
