step, flag_perc, avg_face_degree, polydispersity, avg_volume, time
foam56, 100.0, 13.738, 0.03321024834603903, 1.05692298637334, 1.45
foam57, 100.0, 13.732, 0.03393530038114534, 1.0569653206730927, 1.46
foam58, 100.0, 13.726, 0.035328607423546154, 1.0570805500485614, 1.48
foam59, 100.0, 13.72, 0.0361356129427981, 1.057423994924684, 1.49
foam60, 100.0, 13.716, 0.037666102387300615, 1.0578367125571213, 1.51
foam61, 100.0, 13.714, 0.03848173680470479, 1.0584986242965433, 1.52
foam62, 100.0, 13.706, 0.0393764519657922, 1.0584530093879132, 1.53
foam63, 100.0, 13.698, 0.04107120304690981, 1.0586700450418527, 1.55
foam64, 100.0, 13.696, 0.04192588565206701, 1.058304670891975, 1.56
foam65, 100.0, 13.692, 0.04281342432712565, 1.0583578783559249, 1.57
foam66, 100.0, 13.69, 0.04374177326833517, 1.0585848260776547, 1.58
foam67, 100.0, 13.688, 0.04479315425876096, 1.0588565844000137, 1.59
foam68, 100.0, 13.682, 0.045784230507531554, 1.0588754867397663, 1.6
foam69, 99.5, 13.67, 0.04688671949246803, 1.0586664602096194, 1.61
foam70, 99.5, 13.666, 0.047914149624396885, 1.0591341741451705, 1.62
foam71, 99.5, 13.658, 0.049017218155252396, 1.0595326505949536, 1.63
foam72, 99.4, 13.65, 0.05011744434899401, 1.0597827648006608, 1.64
foam73, 99.4, 13.638, 0.051317844297296134, 1.0603591791241564, 1.65
foam74, 99.5, 13.634, 0.05242435789373201, 1.0603697051633605, 1.66
foam75, 99.0, 13.63, 0.053595745619564594, 1.0607649137707145, 1.67
foam76, 99.0, 13.626, 0.054723890524676744, 1.0607800043185227, 1.68
foam77, 99.0, 13.626, 0.05588151017431331, 1.0610160287857244, 1.69
foam78, 99.0, 13.624, 0.05703960548211673, 1.0610928261546104, 1.7
foam79, 98.8, 13.612, 0.05835545184036772, 1.0602943123994282, 1.71
foam80, 98.8, 13.606, 0.05959975715238519, 1.0609290849127997, 1.72
foam81, 98.5, 13.604, 0.060872268524208684, 1.0618585403272403, 1.73
