cell_tetrahedron, cell_prism_3, cell_cube, cell_prism_5, cell_config_1, cell_config_2, cell_config_3, cell_config_4, cell_config_5, cell_config_6, cell_config_7, cell_config_8, cell_config_9, cell_dodecahedron, cell_config_10, cell_config_11, cell_config_12, cell_config_13, cell_config_14, cell_config_15, cell_config_16, cell_config_17, cell_config_18, cell_config_19, all_cells, all_combinatorial_types
0, 0, 0, 0, 1, 0, 2, 3, 2, 2, 14, 7, 108, 46, 66, 51, 40, 36, 27, 38, 31, 21, 34, 28, 1000, 184
0, 0, 0, 1, 1, 1, 1, 4, 2, 4, 12, 7, 107, 46, 65, 50, 38, 36, 29, 36, 30, 21, 36, 26, 1000, 191
0, 0, 0, 1, 1, 1, 1, 4, 2, 4, 14, 7, 108, 45, 65, 49, 37, 37, 29, 36, 30, 21, 33, 25, 1000, 191
0, 0, 0, 1, 1, 1, 1, 4, 3, 6, 13, 7, 108, 45, 66, 49, 36, 37, 29, 36, 30, 21, 33, 24, 1000, 194
0, 0, 0, 1, 1, 1, 1, 4, 3, 7, 13, 7, 110, 45, 64, 49, 36, 37, 29, 36, 30, 21, 34, 22, 1000, 199
0, 0, 0, 2, 1, 1, 0, 5, 3, 7, 13, 9, 113, 45, 63, 46, 33, 37, 25, 34, 30, 22, 34, 21, 1000, 201
0, 0, 0, 2, 1, 2, 0, 4, 3, 7, 13, 9, 113, 45, 62, 43, 34, 36, 25, 34, 30, 22, 36, 21, 1000, 199
0, 0, 0, 2, 1, 2, 0, 4, 3, 8, 13, 8, 111, 45, 62, 42, 34, 36, 25, 35, 30, 23, 37, 21, 1000, 203
0, 0, 0, 2, 1, 2, 0, 4, 4, 8, 15, 8, 109, 45, 63, 42, 33, 37, 26, 34, 30, 23, 37, 21, 1000, 203
0, 0, 0, 2, 2, 1, 1, 4, 3, 9, 14, 8, 107, 45, 63, 41, 34, 37, 23, 37, 31, 23, 37, 20, 1000, 204
0, 0, 0, 2, 2, 2, 1, 4, 3, 8, 14, 9, 105, 44, 62, 42, 33, 36, 23, 38, 29, 19, 39, 18, 1000, 211
0, 0, 0, 2, 2, 2, 2, 4, 3, 8, 16, 8, 104, 44, 61, 42, 33, 32, 20, 37, 29, 18, 39, 17, 1000, 212
0, 0, 0, 2, 2, 4, 3, 4, 3, 8, 17, 8, 102, 44, 59, 42, 32, 31, 20, 37, 29, 18, 41, 17, 1000, 213
0, 0, 0, 2, 1, 6, 4, 5, 3, 8, 16, 8, 100, 44, 56, 41, 34, 30, 19, 38, 29, 17, 46, 15, 1000, 217
0, 0, 0, 2, 1, 6, 4, 5, 3, 8, 20, 10, 96, 45, 55, 40, 35, 27, 18, 38, 30, 17, 41, 17, 1000, 229
0, 0, 1, 2, 0, 7, 5, 5, 3, 8, 23, 10, 98, 44, 54, 36, 36, 27, 19, 39, 29, 18, 40, 16, 1000, 234
0, 0, 1, 2, 0, 7, 5, 6, 3, 8, 24, 9, 95, 44, 55, 36, 36, 27, 20, 41, 30, 18, 40, 16, 1000, 233
0, 0, 1, 2, 0, 7, 5, 7, 3, 9, 19, 11, 90, 44, 55, 37, 37, 25, 18, 43, 30, 18, 42, 16, 1000, 235
0, 0, 1, 2, 2, 7, 4, 7, 3, 9, 19, 12, 92, 44, 53, 35, 36, 26, 19, 43, 30, 17, 42, 14, 1000, 238
0, 0, 1, 2, 3, 8, 3, 8, 2, 8, 20, 14, 89, 45, 53, 37, 34, 24, 19, 41, 28, 17, 45, 14, 1000, 239
0, 0, 1, 3, 3, 10, 4, 7, 2, 8, 23, 14, 87, 45, 50, 36, 33, 24, 20, 36, 28, 14, 42, 15, 1000, 255
0, 0, 1, 3, 3, 10, 4, 9, 2, 8, 26, 16, 84, 45, 50, 35, 30, 25, 18, 34, 29, 13, 45, 18, 1000, 257
0, 0, 1, 3, 3, 11, 4, 10, 3, 10, 25, 15, 84, 42, 49, 36, 27, 24, 17, 31, 28, 13, 47, 17, 1000, 262
0, 0, 2, 3, 3, 12, 5, 9, 4, 11, 26, 15, 85, 41, 50, 34, 27, 24, 16, 30, 28, 12, 46, 17, 1000, 259
0, 0, 3, 2, 3, 13, 5, 10, 6, 12, 28, 15, 82, 42, 51, 34, 28, 21, 16, 29, 25, 11, 44, 15, 1000, 264
0, 0, 3, 3, 3, 13, 4, 10, 6, 12, 28, 16, 82, 42, 51, 34, 28, 20, 16, 29, 25, 11, 44, 15, 1000, 266
0, 0, 3, 4, 3, 14, 3, 10, 5, 12, 29, 16, 79, 43, 50, 32, 29, 19, 17, 30, 24, 11, 44, 15, 1000, 268
0, 0, 3, 4, 3, 15, 3, 13, 5, 12, 27, 16, 73, 43, 48, 31, 29, 19, 17, 33, 24, 10, 46, 17, 1000, 272
0, 0, 3, 4, 3, 16, 4, 11, 5, 14, 27, 15, 74, 42, 46, 29, 27, 15, 14, 33, 24, 10, 47, 15, 1000, 277
0, 0, 3, 4, 4, 16, 4, 12, 5, 16, 26, 14, 73, 42, 47, 29, 27, 15, 14, 32, 23, 10, 48, 14, 1000, 277
0, 1, 3, 3, 8, 16, 4, 13, 5, 15, 31, 18, 69, 41, 45, 23, 29, 14, 17, 31, 23, 12, 43, 14, 1000, 284
0, 1, 3, 4, 8, 17, 3, 13, 4, 15, 33, 18, 69, 41, 45, 23, 29, 14, 17, 34, 24, 12, 43, 14, 1000, 283
0, 1, 3, 5, 10, 17, 3, 13, 3, 15, 37, 17, 68, 41, 42, 23, 29, 13, 15, 33, 24, 12, 41, 13, 1000, 288
0, 1, 4, 4, 11, 18, 3, 16, 5, 15, 40, 16, 71, 39, 40, 23, 26, 14, 15, 30, 21, 12, 39, 12, 1000, 295
