step, energy
1, 5.317305
2, 5.311705
3, 5.299397
4, 5.295431
5, 5.294733
6, 5.29276
7, 5.289419
8, 5.288719
9, 5.287312
10, 5.286606
11, 5.285875
12, 5.28439
13, 5.282872
14, 5.282043
15, 5.281271
16, 5.2805
17, 5.27969
18, 5.277364
19, 5.273415
20, 5.272438
21, 5.27056
22, 5.269565
23, 5.266858
24, 5.263082
25, 5.262041
26, 5.261083
27, 5.259968
28, 5.258973
29, 5.253024
30, 5.251897
31, 5.247815
32, 5.246494
33, 5.243724
34, 5.242305
35, 5.240997
36, 5.239637
37, 5.238149
38, 5.233635
39, 5.232216
40, 5.230819
41, 5.22905
42, 5.22688
43, 5.225242
44, 5.223781
45, 5.220028
46, 5.218192
47, 5.215834
48, 5.211865
49, 5.207692
50, 5.205724
51, 5.203336
52, 5.201045
53, 5.198714
54, 5.19599
55, 5.193142
56, 5.190677
57, 5.186786
58, 5.183842
59, 5.179793
60, 5.177171
61, 5.174117
62, 5.170588
63, 5.167441
64, 5.163709
65, 5.159807
66, 5.154921
67, 5.151342
68, 5.14675
69, 5.142399
70, 5.138203
71, 5.132406
72, 5.128299
73, 5.124455
74, 5.118983
75, 5.113865
76, 5.103367
77, 5.098262
78, 5.092247
79, 5.087497
80, 5.081557
81, 5.074907
82, 5.06918
83, 5.062142
84, 5.055894
85, 5.049266
86, 5.042862
87, 5.03635
88, 5.028656
89, 5.021756
90, 5.015176
91, 5.008055
92, 5.00121
93, 4.990565
94, 4.983169
95, 4.975563
96, 4.966546
97, 4.956326
98, 4.947146
99, 4.937323
100, 4.929031
101, 4.920426
102, 4.909521
103, 4.903333
104, 4.894664
105, 4.8842
106, 4.874635
107, 4.86401
108, 4.855152
109, 4.845361
110, 4.835048
111, 4.830279
112, 4.818073
113, 4.809631
114, 4.79925
115, 4.787312
116, 4.77628
117, 4.772069
118, 4.763499
119, 4.748192
120, 4.735667
121, 4.724144
122, 4.706272
123, 4.699264
124, 4.688583
125, 4.676187
126, 4.666956
127, 4.657572
128, 4.652689
129, 4.641533
130, 4.631968
131, 4.625706
132, 4.615223
133, 4.601929
134, 4.593984
135, 4.581477
136, 4.58035
137, 4.571422
138, 4.566901
139, 4.557576
140, 4.552787
141, 4.538557
142, 4.532536
143, 4.522239
144, 4.509315
145, 4.495249
146, 4.485141
147, 4.46842
148, 4.450341
149, 4.44395
150, 4.434113
151, 4.432001
152, 4.414642
153, 4.407154
154, 4.395433
155, 4.380355
156, 4.376437
157, 4.371098
158, 4.35671
159, 4.349209
160, 4.337222
161, 4.32407
162, 4.315216
163, 4.315135
164, 4.308109
165, 4.295507
166, 4.28379
167, 4.279635
168, 4.279617
169, 4.268535
170, 4.265653
171, 4.251679
172, 4.235923
173, 4.224745
174, 4.21645
175, 4.203569
176, 4.180441
177, 4.159204
178, 4.14824
179, 4.133653
180, 4.11665
181, 4.112131
182, 4.101553
183, 4.0972
184, 4.088383
185, 4.080989
186, 4.075728
187, 4.056937
188, 4.04234
189, 4.040393
190, 4.033069
191, 4.031005
192, 4.024198
193, 4.021655
194, 4.006549
195, 4.001117
196, 3.987516
197, 3.982197
198, 3.970373
199, 3.970043
200, 3.961846
201, 3.951329
202, 3.946017
203, 3.937935
204, 3.933104
205, 3.927762
206, 3.917063
207, 3.91454
208, 3.911496
209, 3.911402
210, 3.910061
211, 3.897798
212, 3.888608
213, 3.868887
214, 3.866687
215, 3.859787
216, 3.858047
217, 3.848758
218, 3.837485
219, 3.827474
220, 3.826968
221, 3.811599
222, 3.800874
223, 3.800021
224, 3.791487
225, 3.787668
226, 3.785385
227, 3.783234
228, 3.779517
229, 3.77514
230, 3.759239
231, 3.755345
232, 3.735608
233, 3.726908
234, 3.713593
235, 3.711189
236, 3.724208
237, 3.702126
238, 3.686182
239, 3.668113
240, 3.663861
241, 3.6629
242, 3.662041
243, 3.660548
244, 3.651714
245, 3.638873
246, 3.630217
247, 3.629342
248, 3.615913
249, 3.613614
250, 3.605528
251, 3.601603
252, 3.588239
253, 3.578971
254, 3.576161
255, 3.57395
256, 3.557745
257, 3.555235
258, 3.540837
259, 3.538795
260, 3.518284
261, 3.509042
262, 3.508515
263, 3.508277
264, 3.500627
265, 3.490594
266, 3.490536
267, 3.483975
268, 3.473718
269, 3.473131
270, 3.472925
271, 3.471996
272, 3.456181
273, 3.446483
274, 3.446154
275, 3.43404
