cell_tetrahedron, cell_prism_3, cell_cube, cell_prism_5, cell_config_1, cell_config_2, cell_config_3, cell_config_4, cell_config_5, cell_config_6, cell_config_7, cell_config_8, cell_config_9, cell_dodecahedron, cell_config_10, cell_config_11, cell_config_12, cell_config_13, cell_config_14, cell_config_15, cell_config_16, cell_config_17, cell_config_18, cell_config_19, all_cells, all_combinatorial_types
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 156, 43, 79, 52, 41, 37, 33, 32, 30, 28, 23, 23, 1000, 150
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 157, 42, 78, 52, 41, 36, 33, 31, 29, 28, 24, 24, 1000, 150
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 158, 41, 78, 51, 42, 36, 33, 31, 29, 28, 24, 24, 1000, 151
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 159, 41, 78, 51, 43, 36, 33, 31, 29, 28, 25, 24, 1000, 150
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 159, 41, 76, 51, 43, 36, 35, 31, 27, 28, 25, 24, 1000, 150
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 158, 41, 77, 50, 44, 36, 35, 33, 27, 27, 25, 24, 1000, 149
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 157, 41, 77, 51, 45, 36, 35, 33, 27, 27, 25, 24, 1000, 151
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 155, 41, 77, 49, 44, 37, 34, 34, 28, 27, 26, 27, 1000, 154
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 155, 41, 76, 49, 44, 37, 33, 34, 29, 27, 26, 27, 1000, 154
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 153, 41, 76, 49, 43, 37, 33, 33, 29, 27, 27, 27, 1000, 156
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 153, 40, 75, 49, 44, 37, 33, 33, 28, 27, 28, 27, 1000, 157
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 150, 41, 76, 49, 45, 39, 33, 33, 28, 24, 28, 27, 1000, 159
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 148, 41, 73, 51, 46, 39, 34, 31, 28, 24, 30, 26, 1000, 165
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 148, 41, 71, 50, 46, 39, 33, 32, 27, 25, 31, 26, 1000, 165
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 144, 41, 70, 50, 46, 38, 33, 33, 28, 25, 35, 26, 1000, 167
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 144, 41, 69, 51, 46, 37, 33, 34, 28, 25, 35, 26, 1000, 168
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 144, 41, 69, 51, 46, 37, 32, 34, 28, 25, 35, 25, 1000, 169
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 143, 41, 69, 51, 46, 37, 32, 34, 27, 25, 35, 24, 1000, 168
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 143, 41, 68, 51, 46, 37, 32, 34, 27, 25, 35, 24, 1000, 170
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 143, 40, 64, 50, 45, 38, 34, 34, 27, 24, 35, 25, 1000, 169
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 142, 40, 64, 49, 44, 39, 34, 35, 28, 23, 39, 27, 1000, 169
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 141, 40, 64, 48, 44, 39, 35, 35, 28, 23, 39, 27, 1000, 169
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 138, 40, 65, 48, 42, 41, 39, 36, 27, 22, 41, 27, 1000, 170
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 135, 40, 68, 48, 41, 40, 39, 37, 27, 21, 43, 26, 1000, 173
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 2, 131, 40, 69, 48, 41, 40, 39, 39, 26, 21, 44, 27, 1000, 178
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 2, 133, 40, 64, 44, 40, 40, 38, 40, 25, 21, 45, 26, 1000, 182
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 2, 132, 40, 63, 43, 40, 39, 38, 40, 25, 21, 44, 26, 1000, 183
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 4, 130, 40, 62, 43, 39, 39, 39, 39, 26, 20, 45, 26, 1000, 190
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 4, 128, 41, 62, 43, 38, 39, 39, 40, 25, 20, 46, 26, 1000, 191
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 5, 125, 42, 61, 42, 39, 42, 37, 41, 25, 19, 49, 27, 1000, 188
