step, flag_perc, avg_face_degree, polydispersity, avg_volume, time
foam1, 100.0, 13.806, 0.0017449522356045577, 1.0482233871841404, 0.0
foam2, 100.0, 13.806, 0.002821041201883645, 1.0482306198814366, 0.25
foam3, 100.0, 13.806, 0.00355071866736667, 1.0482287115229965, 0.35
foam4, 100.0, 13.804, 0.005688873987494736, 1.0481305268328145, 0.56
foam5, 100.0, 13.804, 0.006483896987884208, 1.0481658163246284, 0.62
foam6, 100.0, 13.804, 0.006622072261381451, 1.0481793423623862, 0.63
foam7, 100.0, 13.804, 0.007052926353398048, 1.0482230615214183, 0.66
foam8, 100.0, 13.804, 0.007805822531188555, 1.0482236613996896, 0.71
foam9, 100.0, 13.804, 0.00796775719688303, 1.0482349428922875, 0.72
foam10, 100.0, 13.804, 0.008301904139013327, 1.0482607675895612, 0.74
foam11, 100.0, 13.804, 0.008478219376295115, 1.0483201564428597, 0.75
foam12, 100.0, 13.804, 0.00865777923267741, 1.0483713616236634, 0.76
foam13, 100.0, 13.804, 0.009021640836920142, 1.0483573883714172, 0.78
foam14, 100.0, 13.804, 0.009390619298486946, 1.0483116672488597, 0.8
foam15, 100.0, 13.804, 0.009592156699130161, 1.048437217258802, 0.81
foam16, 100.0, 13.804, 0.00979002442203214, 1.0484421538780477, 0.82
foam17, 100.0, 13.804, 0.009987180029840559, 1.048426195284494, 0.83
foam18, 100.0, 13.804, 0.010188286295015558, 1.048451322034596, 0.84
foam19, 100.0, 13.804, 0.010800138065360843, 1.0485328922226873, 0.87
foam20, 100.0, 13.804, 0.011881701826366609, 1.0485908420337589, 0.92
foam21, 100.0, 13.802, 0.012110584608329367, 1.0486162495276103, 0.93
foam22, 100.0, 13.802, 0.0125731431967111, 1.0486178218262023, 0.95
foam23, 100.0, 13.8, 0.01282921923309388, 1.0487405325802972, 0.96
foam24, 100.0, 13.8, 0.013591314433252233, 1.0485243301956477, 0.99
foam25, 100.0, 13.8, 0.01465409908087456, 1.048659173843684, 1.03
foam26, 100.0, 13.8, 0.014944219470488296, 1.048769153454399, 1.04
foam27, 100.0, 13.8, 0.015229194813271452, 1.048941975318732, 1.05
foam28, 100.0, 13.8, 0.015531528423268437, 1.048922090536693, 1.06
foam29, 100.0, 13.8, 0.01583116087910641, 1.0489661318211472, 1.07
foam30, 100.0, 13.794, 0.017390790516438104, 1.049134101877413, 1.12
foam31, 100.0, 13.794, 0.01772975594540971, 1.049242519650109, 1.13
foam32, 100.0, 13.788, 0.018808328685840925, 1.0492186528765397, 1.16
foam33, 100.0, 13.786, 0.019172514780350536, 1.0493006982712902, 1.17
foam34, 100.0, 13.784, 0.0199194483365146, 1.0495144198052389, 1.19
foam35, 100.0, 13.784, 0.020297197147307156, 1.0495366683324485, 1.2
foam36, 100.0, 13.784, 0.020687381610069666, 1.0496287746172166, 1.21
foam37, 100.0, 13.784, 0.02106860389901022, 1.0497675817903753, 1.22
foam38, 100.0, 13.784, 0.021465692843149142, 1.0498212899214874, 1.23
foam39, 100.0, 13.78, 0.022703503897654853, 1.0498234109226, 1.26
foam40, 100.0, 13.78, 0.023141425507388513, 1.049925156855367, 1.27
foam41, 100.0, 13.78, 0.023583321913765776, 1.0499789982272296, 1.28
foam42, 100.0, 13.778, 0.02406772139160096, 1.0502517066435961, 1.29
foam43, 100.0, 13.776, 0.02455716816033915, 1.0505208893269433, 1.3
foam44, 100.0, 13.776, 0.02503666125502857, 1.0500874262894875, 1.31
foam45, 100.0, 13.776, 0.025505372904277346, 1.0501383342445016, 1.32
foam46, 100.0, 13.774, 0.026519435759520427, 1.0503723774602567, 1.34
foam47, 100.0, 13.774, 0.027035401498404887, 1.0504604373159796, 1.35
