#  foam_annealed3_s3.fe
  D_time     energy      minL    scale         p cells
    0.0000  5.3307837  0.000244   1.5651  0.000295  1000
    0.0000  5.3305624  0.037456  23.6364  0.000295  1000
    0.0100  5.3300479  0.039882  22.1082  0.000309  1000
    0.0200  5.3295298  0.044012  20.5506  0.000325  1000
    0.0300  5.3290129  0.048338   9.6288  0.000342  1000
    0.0400  5.3284953  0.051708  14.1776  0.000362  1000
    0.0500  5.3279766  0.055027  10.2518  0.000382  1000
    0.0600  5.3274565  0.058198   2.1219  0.000405  1000
    0.0700  5.3269352  0.061276   7.7261  0.000429  1000
    0.0800  5.3264123  0.064057  12.5844  0.000455  1000
    0.0900  5.3258884  0.066922   6.1806  0.000482  1000
    0.1000  5.3253631  0.069717   5.7635  0.000512  1000
    0.1100  5.3248363  0.072425   3.1649  0.000543  1000
    0.1200  5.3243080  0.075107   4.8170  0.000575  1000
    0.1300  5.3237782  0.077593   2.6669  0.000610  1000
    0.1400  5.3232471  0.080162   7.8338  0.000646  1000
    0.1500  5.3227146  0.082641   4.3043  0.000683  1000
    0.1600  5.3221806  0.085036   2.5506  0.000723  1000
    0.1700  5.3216451  0.087461   8.5495  0.000764  1000
    0.1800  5.3211080  0.089850   4.4430  0.000807  1000
    0.1900  5.3205695  0.086522   6.7391  0.000852  1000
    0.2000  5.3200294  0.081362   4.9966  0.000899  1000
    0.2100  5.3194878  0.075918   4.8078  0.000947  1000
    0.2200  5.3189445  0.067769   3.8096  0.000997  1000
    0.2300  5.3183996  0.055113   5.8080  0.001049  1000
    0.2400  5.3178532  0.040381   3.7423  0.001103  1000
    0.2500  5.3173045  0.001446   6.6557  0.001158  1000
    0.2500  5.3172889  0.105922  26.8091  0.001158  1000
    0.2600  5.3167383  0.102246  23.4299  0.001216  1000
    0.2700  5.3161838  0.097899  18.1371  0.001275  1000
    0.2800  5.3156297  0.093606  12.9526  0.001336  1000
    0.2900  5.3150740  0.089160  12.7825  0.001399  1000
    0.3000  5.3145169  0.084276   7.9668  0.001464  1000
    0.3100  5.3139581  0.078472  11.7219  0.001530  1000
    0.3200  5.3133976  0.070754   7.0966  0.001599  1000
    0.3300  5.3128353  0.059914   6.9162  0.001669  1000
    0.3400  5.3122712  0.038700  10.5510  0.001742  1000
    0.3500  5.3117051  0.003208   8.4755  0.001816  1000
    0.3500  5.3116825  0.128257  32.8496  0.001816  1000
    0.3600  5.3111131  0.129584  21.6744  0.001892  1000
    0.3700  5.3105395  0.129675  22.8902  0.001970  1000
    0.3800  5.3099662  0.128330  15.1397  0.002051  1000
    0.3900  5.3093912  0.124399  13.9490  0.002133  1000
    0.4000  5.3088144  0.120408   5.8396  0.002217  1000
    0.4100  5.3082357  0.116311   8.3460  0.002303  1000
    0.4200  5.3076552  0.112135   5.2762  0.002391  1000
    0.4300  5.3070728  0.107844   2.7442  0.002481  1000
    0.4400  5.3064883  0.103320  10.9759  0.002573  1000
    0.4500  5.3059019  0.098663   1.4517  0.002667  1000
    0.4600  5.3053132  0.093647   5.1201  0.002763  1000
    0.4700  5.3047224  0.088499   7.0091  0.002861  1000
    0.4800  5.3041296  0.083063   6.1754  0.002962  1000
    0.4900  5.3035346  0.077310   2.6073  0.003064  1000
    0.5000  5.3029374  0.070919   4.0932  0.003169  1000
    0.5100  5.3023380  0.064431   5.1946  0.003275  1000
    0.5200  5.3017363  0.057135   2.9026  0.003384  1000
    0.5300  5.3011324  0.048771   6.9015  0.003495  1000
    0.5400  5.3005261  0.039035   5.3070  0.003608  1000
    0.5500  5.2999173  0.026504   5.1498  0.003723  1000
    0.5600  5.2993059  0.009369   5.7409  0.003840  1000
