#  foam_annealed3_s3.fe
  D_time     energy      minL    scale         p cells
    0.0000  5.3309517  0.000470   6.4460  0.000295  1000
    0.0000  5.3308718  0.000458   4.3440  0.000295  1000
    0.0000  5.3308496  0.000229   2.9951  0.000295  1000
    0.0000  5.3308130  0.000382   3.0064  0.000295  1000
    0.0000  5.3308019  0.000352   1.5154  0.000295  1000
    0.0000  5.3307837  0.000244   1.5651  0.000295  1000
#
    0.0000  5.3306399  0.057957  56.4415  0.000295  1000
    0.0000  5.3305862  0.053855  45.1776  0.000295  1000
    0.0000  5.3305745  0.037286  45.9258  0.000295  1000
    0.0000  5.3305677  0.040882  33.6839  0.000295  1000
    0.0000  5.3305645  0.034706  47.6188  0.000295  1000
    0.0000  5.3305624  0.037456  23.6364  0.000295  1000
#
# nndmp := 1
    0.0100  5.3300958  0.050914  66.2121  0.000309  1000
    0.0100  5.3300681  0.044293  34.6972  0.000309  1000
    0.0100  5.3300578  0.042159  50.9120  0.000309  1000
    0.0100  5.3300525  0.040479  34.5439  0.000309  1000
    0.0100  5.3300498  0.040621  43.1553  0.000309  1000
    0.0100  5.3300479  0.039882  22.1082  0.000309  1000
#
    0.0200  5.3295325  0.044163  38.0618  0.000325  1000
    0.0200  5.3295316  0.043307  22.4586  0.000325  1000
    0.0200  5.3295310  0.044705  34.0840  0.000325  1000
    0.0200  5.3295305  0.043592  21.4122  0.000325  1000
    0.0200  5.3295302  0.044594  30.4632  0.000325  1000
    0.0200  5.3295298  0.044012  20.5506  0.000325  1000
#
    0.0300  5.3290138  0.047242  28.3317  0.000342  1000
    0.0300  5.3290136  0.047687  18.0202  0.000342  1000
    0.0300  5.3290134  0.047974  14.0310  0.000342  1000
    0.0300  5.3290132  0.048156  17.3126  0.000342  1000
    0.0300  5.3290131  0.048280  11.1512  0.000342  1000
    0.0300  5.3290129  0.048338   9.6288  0.000342  1000
#
    0.0400  5.3284958  0.051086  28.2875  0.000362  1000
    0.0400  5.3284956  0.051390  13.1953  0.000362  1000
    0.0400  5.3284955  0.051687  12.6848  0.000362  1000
    0.0400  5.3284955  0.051654  12.0879  0.000362  1000
    0.0400  5.3284954  0.051728  14.2656  0.000362  1000
    0.0400  5.3284953  0.051708  14.1776  0.000362  1000
#
    0.0500  5.3279770  0.054281  24.8237  0.000382  1000
    0.0500  5.3279768  0.054948  10.1901  0.000382  1000
    0.0500  5.3279768  0.054999  14.3921  0.000382  1000
    0.0500  5.3279767  0.054950   7.5020  0.000382  1000
    0.0500  5.3279766  0.055048  13.5665  0.000382  1000
    0.0500  5.3279766  0.055027  10.2518  0.000382  1000
#
    0.0600  5.3274568  0.057537  24.6038  0.000405  1000
    0.0600  5.3274567  0.057970  14.1670  0.000405  1000
    0.0600  5.3274567  0.058081   9.1431  0.000405  1000
    0.0600  5.3274566  0.058075   8.4593  0.000405  1000
    0.0600  5.3274566  0.058217   9.0225  0.000405  1000
    0.0600  5.3274565  0.058198   2.1219  0.000405  1000
#
    0.0700  5.3269354  0.060596  16.5906  0.000429  1000
    0.0700  5.3269353  0.061022  11.2295  0.000429  1000
    0.0700  5.3269353  0.061145   4.0102  0.000429  1000
    0.0700  5.3269352  0.061144   8.1796  0.000429  1000
    0.0700  5.3269352  0.061218   7.1127  0.000429  1000
    0.0700  5.3269352  0.061276   7.7261  0.000429  1000
#
    0.0800  5.3264125  0.063616  19.6721  0.000455  1000
    0.0800  5.3264125  0.063875   8.6763  0.000455  1000
    0.0800  5.3264124  0.064012   6.2019  0.000455  1000
    0.0800  5.3264124  0.064009  10.6445  0.000455  1000
    0.0800  5.3264124  0.064063   9.1128  0.000455  1000
    0.0800  5.3264123  0.064057  12.5844  0.000455  1000
#
    0.0900  5.3258887  0.066485  18.0536  0.000482  1000
    0.0900  5.3258886  0.066602  12.8490  0.000482  1000
    0.0900  5.3258885  0.066919   5.9659  0.000482  1000
    0.0900  5.3258885  0.066914   7.0586  0.000482  1000
    0.0900  5.3258885  0.067005   6.7272  0.000482  1000
    0.0900  5.3258884  0.066922   6.1806  0.000482  1000
#
    0.1000  5.3253633  0.069235  20.5702  0.000512  1000
    0.1000  5.3253632  0.069513   5.4086  0.000512  1000
    0.1000  5.3253632  0.069670   6.7980  0.000512  1000
    0.1000  5.3253631  0.069642   9.5866  0.000512  1000
    0.1000  5.3253631  0.069730   9.2682  0.000512  1000
    0.1000  5.3253631  0.069717   5.7635  0.000512  1000
#
    0.1100  5.3248365  0.071976  14.8405  0.000543  1000
    0.1100  5.3248364  0.072218   7.6787  0.000543  1000
    0.1100  5.3248364  0.072368  10.5354  0.000543  1000
    0.1100  5.3248363  0.072339  10.2708  0.000543  1000
    0.1100  5.3248363  0.072417   6.0616  0.000543  1000
    0.1100  5.3248363  0.072425   3.1649  0.000543  1000
#
    0.1200  5.3243082  0.074690  15.3283  0.000575  1000
    0.1200  5.3243082  0.074815  14.3346  0.000575  1000
    0.1200  5.3243081  0.074983  10.0867  0.000575  1000
    0.1200  5.3243081  0.074924   6.6097  0.000575  1000
    0.1200  5.3243081  0.074999   6.9368  0.000575  1000
    0.1200  5.3243080  0.075107   4.8170  0.000575  1000
#
    0.1300  5.3237784  0.077281  18.6323  0.000610  1000
    0.1300  5.3237783  0.077365  11.3523  0.000610  1000
    0.1300  5.3237783  0.077520   6.0584  0.000610  1000
    0.1300  5.3237783  0.077530   8.8089  0.000610  1000
    0.1300  5.3237782  0.077611   4.7669  0.000610  1000
    0.1300  5.3237782  0.077593   2.6669  0.000610  1000
#
    0.1400  5.3232473  0.079813  18.0582  0.000646  1000
    0.1400  5.3232472  0.079881  11.8914  0.000646  1000
    0.1400  5.3232472  0.080052   7.3076  0.000646  1000
    0.1400  5.3232471  0.080033   5.0519  0.000646  1000
    0.1400  5.3232471  0.080163   8.5345  0.000646  1000
    0.1400  5.3232471  0.080162   7.8338  0.000646  1000
#
    0.1500  5.3227148  0.082250  19.5385  0.000683  1000
    0.1500  5.3227147  0.082469  11.6186  0.000683  1000
    0.1500  5.3227146  0.082541   3.5041  0.000683  1000
    0.1500  5.3227146  0.082606   7.2122  0.000683  1000
    0.1500  5.3227146  0.082591   7.3408  0.000683  1000
    0.1500  5.3227146  0.082641   4.3043  0.000683  1000
#
    0.1600  5.3221807  0.084805  14.6068  0.000723  1000
    0.1600  5.3221807  0.084862   9.0202  0.000723  1000
    0.1600  5.3221806  0.084984  10.2394  0.000723  1000
    0.1600  5.3221806  0.084992   6.4111  0.000723  1000
    0.1600  5.3221806  0.085027   5.0340  0.000723  1000
    0.1600  5.3221806  0.085036   2.5506  0.000723  1000
#
    0.1700  5.3216453  0.087245  22.0547  0.000764  1000
    0.1700  5.3216452  0.087327   7.9006  0.000764  1000
    0.1700  5.3216452  0.087448  12.8995  0.000764  1000
    0.1700  5.3216451  0.087445   4.6770  0.000764  1000
    0.1700  5.3216451  0.087483   6.0261  0.000764  1000
    0.1700  5.3216451  0.087461   8.5495  0.000764  1000
#
    0.1800  5.3211082  0.089636  11.9909  0.000807  1000
    0.1800  5.3211081  0.089703  10.7876  0.000807  1000
    0.1800  5.3211081  0.089821  11.5841  0.000807  1000
    0.1800  5.3211081  0.089809   6.4576  0.000807  1000
    0.1800  5.3211081  0.089874   7.5432  0.000807  1000
    0.1800  5.3211080  0.089850   4.4430  0.000807  1000
#
