#  foam_annealed3_s4.fe
  D_time     energy      minL    scale         p cells
    0.0000  5.3298341  0.000796   7.9087  0.000301  1000
    0.0000  5.3297631  0.000516   5.5486  0.000301  1000
    0.0000  5.3297355  0.000303   4.1221  0.000301  1000
    0.0000  5.3297030  0.000282   3.1738  0.000301  1000
    0.0000  5.3296917  0.000157   1.7692  0.000301  1000
    0.0000  5.3296807  0.000061   1.6850  0.000301  1000
#
    0.0000  5.3295776  0.099928  60.3763  0.000301  1000
    0.0000  5.3295326  0.096729  58.9155  0.000301  1000
    0.0000  5.3295205  0.096340  58.2672  0.000301  1000
    0.0000  5.3295161  0.096106  45.1819  0.000301  1000
    0.0000  5.3295136  0.095745  48.6287  0.000301  1000
    0.0000  5.3295116  0.095819  33.3347  0.000301  1000
#
# nndmp := 1
    0.0100  5.3290663  0.099903  68.4232  0.000315  1000
    0.0100  5.3290406  0.097668  67.3087  0.000315  1000
    0.0100  5.3290325  0.098126  49.1108  0.000315  1000
    0.0100  5.3290289  0.098166  51.1944  0.000315  1000
    0.0100  5.3290269  0.097817  45.8282  0.000315  1000
    0.0100  5.3290253  0.097894  32.7150  0.000315  1000
#
    0.0200  5.3285381  0.100003  34.1271  0.000330  1000
    0.0200  5.3285374  0.099614  26.1811  0.000330  1000
    0.0200  5.3285369  0.099991  26.0468  0.000330  1000
    0.0200  5.3285365  0.099796  29.9071  0.000330  1000
    0.0200  5.3285362  0.099965  26.9436  0.000330  1000
    0.0200  5.3285359  0.099813  19.5664  0.000330  1000
#
    0.0300  5.3280482  0.101705  31.0502  0.000347  1000
    0.0300  5.3280479  0.102030  22.3726  0.000347  1000
    0.0300  5.3280477  0.101979  19.6258  0.000347  1000
    0.0300  5.3280476  0.101984  24.8968  0.000347  1000
    0.0300  5.3280474  0.101949  18.1619  0.000347  1000
    0.0300  5.3280473  0.101996  15.6138  0.000347  1000
#
    0.0400  5.3275585  0.103829  16.6634  0.000366  1000
    0.0400  5.3275583  0.104085  13.4503  0.000366  1000
    0.0400  5.3275582  0.104090  14.2836  0.000366  1000
    0.0400  5.3275581  0.104081  15.6967  0.000366  1000
    0.0400  5.3275580  0.104090  10.6751  0.000366  1000
    0.0400  5.3275580  0.104124  12.0505  0.000366  1000
#
    0.0500  5.3270680  0.105932  13.4983  0.000386  1000
    0.0500  5.3270679  0.106115   9.3432  0.000386  1000
    0.0500  5.3270678  0.106211  12.3194  0.000386  1000
    0.0500  5.3270678  0.106237   8.9167  0.000386  1000
    0.0500  5.3270677  0.106205   9.7061  0.000386  1000
    0.0500  5.3270677  0.106266   5.0481  0.000386  1000
#
    0.0600  5.3265765  0.108090  22.1408  0.000408  1000
    0.0600  5.3265764  0.108222  11.2077  0.000408  1000
    0.0600  5.3265763  0.108305  16.4683  0.000408  1000
    0.0600  5.3265762  0.108331  11.3054  0.000408  1000
    0.0600  5.3265762  0.108369  12.4185  0.000408  1000
    0.0600  5.3265762  0.108359   4.0873  0.000408  1000
#
    0.0700  5.3260837  0.109076  23.9602  0.000431  1000
    0.0700  5.3260836  0.108562   9.0239  0.000431  1000
    0.0700  5.3260836  0.108633  13.8045  0.000431  1000
    0.0700  5.3260835  0.108611   4.0642  0.000431  1000
    0.0700  5.3260835  0.108685  10.1554  0.000431  1000
    0.0700  5.3260835  0.108667   9.4599  0.000431  1000
#
    0.0800  5.3255897  0.107880  19.7797  0.000456  1000
    0.0800  5.3255896  0.107486  16.4008  0.000456  1000
    0.0800  5.3255896  0.107495   6.3058  0.000456  1000
    0.0800  5.3255896  0.107534  10.2527  0.000456  1000
    0.0800  5.3255895  0.107553   6.1786  0.000456  1000
    0.0800  5.3255895  0.107491   9.6830  0.000456  1000
#
    0.0900  5.3250945  0.106713  18.8084  0.000482  1000
    0.0900  5.3250944  0.106246  11.7422  0.000482  1000
    0.0900  5.3250943  0.106333  14.7427  0.000482  1000
    0.0900  5.3250943  0.106316   6.4621  0.000482  1000
    0.0900  5.3250943  0.106324   8.1670  0.000482  1000
    0.0900  5.3250943  0.106327   3.9641  0.000482  1000
#
    0.1000  5.3245980  0.105575  23.3202  0.000510  1000
    0.1000  5.3245979  0.104994   7.3337  0.000510  1000
    0.1000  5.3245978  0.105168  11.2185  0.000510  1000
    0.1000  5.3245978  0.105102  10.5259  0.000510  1000
    0.1000  5.3245978  0.105076   3.6390  0.000510  1000
    0.1000  5.3245978  0.105028   6.8437  0.000510  1000
#
    0.1100  5.3241000  0.104198  17.2306  0.000539  1000
    0.1100  5.3240999  0.104030  12.2487  0.000539  1000
    0.1100  5.3240999  0.103941   8.2355  0.000539  1000
    0.1100  5.3240999  0.103948   8.8704  0.000539  1000
    0.1100  5.3240999  0.103899   8.7315  0.000539  1000
    0.1100  5.3240999  0.103913   5.6939  0.000539  1000
#
    0.1200  5.3236009  0.103045  17.4954  0.000571  1000
    0.1200  5.3236008  0.102654  10.9967  0.000571  1000
    0.1200  5.3236007  0.102627   5.2488  0.000571  1000
    0.1200  5.3236007  0.102637  17.1410  0.000571  1000
    0.1200  5.3236007  0.102596   6.9637  0.000571  1000
    0.1200  5.3236007  0.102592   6.0815  0.000571  1000
#
    0.1300  5.3231004  0.101742  17.7320  0.000603  1000
    0.1300  5.3231003  0.101428  11.9929  0.000603  1000
    0.1300  5.3231003  0.101311   7.0781  0.000603  1000
    0.1300  5.3231002  0.101312   7.8625  0.000603  1000
    0.1300  5.3231002  0.101293   7.0180  0.000603  1000
    0.1300  5.3231002  0.101289   8.0802  0.000603  1000
#
    0.1400  5.3225985  0.100541  24.9048  0.000638  1000
    0.1400  5.3225985  0.100188  15.6342  0.000638  1000
    0.1400  5.3225984  0.100103  10.2025  0.000638  1000
    0.1400  5.3225984  0.100002   6.6352  0.000638  1000
    0.1400  5.3225984  0.099975   8.2009  0.000638  1000
    0.1400  5.3225983  0.099977   8.0939  0.000638  1000
#
    0.1500  5.3220953  0.099117  20.1496  0.000674  1000
    0.1500  5.3220952  0.098700  12.6799  0.000674  1000
    0.1500  5.3220952  0.098603   4.6404  0.000674  1000
    0.1500  5.3220951  0.098555   4.4750  0.000674  1000
    0.1500  5.3220951  0.098614   8.2427  0.000674  1000
    0.1500  5.3220951  0.098498   6.5415  0.000674  1000
#
    0.1600  5.3215906  0.097638  16.2429  0.000711  1000
    0.1600  5.3215905  0.097121  14.9541  0.000711  1000
    0.1600  5.3215905  0.097080   3.5039  0.000711  1000
    0.1600  5.3215905  0.097097   6.7271  0.000711  1000
    0.1600  5.3215905  0.097081   9.0120  0.000711  1000
